"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"5775","5759","850.00",".00",".00",".00",".00","850.00",".00",".00",".00",".00","850.00",".00",".00","850.00",".00","850.00","850.00",".00",".00",".00","850.00","","{43853C57-60D3-EF43-72CB-195170AA8625}"
"7793","7812","6446.86",".00",".00",".00",".00","6446.86",".00",".00",".00",".00","6446.86",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{6E9EA9D3-2445-3B43-103D-E544F6534AD8}"
"8187","8207","8587.72",".25",".00",".00",".25","8587.97","2078.17",".00",".00","2078.17","6509.80",".00","8713.14","1250.85",".25","1251.10","9964.24","1376.27","2078.17","3454.44","6509.80","","{B0A001A8-B6A3-3632-0A07-9179A22FB97F}"
"9358","9321","1100.00","6441.57",".00",".00","6441.57","7541.57","5367.75",".00",".00","5367.75","2173.82",".00",".00","6770.00","6441.57","13211.57","13211.57","5670.00","5367.75","11037.75","2173.82","","{E4629EEA-9DE2-7075-B035-031A3631B166}"
"10092","10204","31359.40","7375.00",".00",".00","7375.00","38734.40","2820.95",".00",".00","2820.95","35913.45",".00","31623.38",".00","7375.00","7375.00","38998.38",".00","2820.95","2820.95","36177.43","","{18529EFB-C8BF-C84E-B991-692EBFB71048}"
"10244","10367","1496.89",".00",".00",".00",".00","1496.89","224.00",".00",".00","224.00","1272.89",".00","1596.89",".00",".00",".00","1596.89","300.00","224.00","524.00","1072.89","","{3F408DE6-4D44-55BA-8B46-8BCF29AC33DC}"
"10815","10936","3144.81",".00",".00",".00",".00","3144.81",".00",".00",".00",".00","3144.81",".00","3144.81",".00",".00",".00","3144.81",".00",".00",".00","3144.81","","{5A57B120-1552-CE5C-0BD7-62FF4B7A88B0}"
"10816","10937","981.97","1831.32",".00",".00","1831.32","2813.29","1831.32",".00",".00","1831.32","981.97","2000.00","1580.45","2829.74","1831.32","4661.06","6241.51","3428.22","1831.32","5259.54","981.97","","{0B165934-36D3-2522-41AA-246BD00AA37A}"
"10817","10938","1065.98",".00",".00",".00",".00","1065.98","90.00",".00",".00","90.00","975.98",".00",".00","35055.90",".00","35055.90","35055.90","33989.92","90.00","34079.92","975.98","","{052EA3D7-04BB-17D9-7D78-9FE3EE2E0648}"
"10818","10939","46.91",".00",".00",".00",".00","46.91",".00",".00",".00",".00","46.91",".00",".00","3565.97",".00","3565.97","3565.97","3519.06",".00","3519.06","46.91","","{F2030785-0B5E-A32B-2156-D4EF9AEBC733}"
"10819","10940","18078.80",".00",".00",".00",".00","18078.80","509.77",".00",".00","509.77","17569.03",".00","19931.54",".00",".00",".00","19931.54","1852.74","509.77","2362.51","17569.03","","{C089D668-48F9-5C22-F144-7CAD7118F630}"
"10821","10942","1019.03",".00",".00",".00",".00","1019.03",".00",".00",".00",".00","1019.03","5000.00","1019.03",".00",".00",".00","1019.03",".00",".00",".00","1019.03","","{965D3907-E4DA-3AE8-878F-A331654AAE5F}"
"10822","10943","13534.39","15410.00",".00",".00","15410.00","28944.39","16266.83",".00",".00","16266.83","12677.56",".00","13978.39","58973.44","15410.00","74383.44","88361.83","46926.82","16266.83","63193.65","25168.18","","{CB50E0B6-F2F3-E46D-F572-2A5E4A3C3ECE}"
"10823","10944","452.05",".00",".00",".00",".00","452.05","45.00",".00",".00","45.00","407.05",".00",".00","8480.13",".00","8480.13","8480.13","8028.08","45.00","8073.08","407.05","","{54BA586F-15D8-68EB-3AE8-481C899ED60A}"
"10824","10945","85.74","157.75",".00",".00","157.75","243.49","157.75",".00",".00","157.75","85.74",".00","191.74","645.00","157.75","802.75","994.49","751.00","157.75","908.75","85.74","","{B9D0A13F-204A-EDB0-0035-B16F10FD6A8D}"
"10827","10948","1902.81",".00",".00",".00",".00","1902.81","500.00",".00",".00","500.00","1402.81",".00","902.81","1000.00",".00","1000.00","1902.81",".00","500.00","500.00","1402.81","","{FF9B18A6-C982-9A6F-929E-851D4CE70ACE}"
"10829","10949","2232.64","6344.23",".00",".00","6344.23","8576.87","5086.57",".00",".00","5086.57","3490.30",".00","640.84","15383.00","6344.23","21727.23","22368.07","13791.20","5086.57","18877.77","3490.30","","{98F462B0-2511-F012-2AF5-4F8DA6D6A609}"
"10833","10953","2050.00",".00",".00",".00",".00","2050.00",".00",".00",".00",".00","2050.00",".00","2500.00",".00",".00",".00","2500.00","450.00",".00","450.00","2050.00","","{A971A731-C5AD-D449-727E-0F201313F415}"
"10837","10956","397.72",".00",".00",".00",".00","397.72","8.00",".00",".00","8.00","389.72",".00",".00","11670.41",".00","11670.41","11670.41","11272.69","8.00","11280.69","389.72","","{7E115500-B197-E7A9-DBDD-8FBAE01CD672}"
"10838","10957","2137.70","13605.00",".00",".00","13605.00","15742.70","11147.91",".00",".00","11147.91","4594.79",".00","621.13","3050.00","13605.00","16655.00","17276.13","1533.43","11147.91","12681.34","4594.79","","{B24B93B4-E270-9545-2A7B-721D16D45288}"
