"Committee Code","Committee Name","Report Year","Report Due Date","Report Code","Report Start Date","Report Ending Date","Fling Source Type","Filing Type","Amended Count","Date Received","Filing Status","Election Year","Officer Position","Last Name","First Name","Middle Name","Office Code","Office Sub Code","Party","SCHED_ID","Begin Cash Bal","Receips Line4 G","Receipts Line5 G","Receipts Line10 G","Tot Expend Funds","Exp Line8 G","Exp Line12 G","Surplus XFerred","Tot Surplus I","End Cash Bal","Tot Receipts To Date","Total Exp To Date","Debt Outstanding","Bal Start Cycle","Tot Receipts Line24 Last Rep","Tot Receipts Elec Cycle","Tot Funds Available","Total Disb Last Rep","Total Disb Elec Cycle","Ending Balance"
"CC980053","Friends of Vance Wilkins, Jr.","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","F","","07/17/2003","T","1999","CandOfficer","Wilkins","S.","Vance","HOD","024","Virginia Republican Party","H","61084.70","133325.00","0.00","0.00","194409.70","78935.21","0.00","115474.49","0.00","0.00","272065.70","120434.42","0.00","","","","","","",""
"CC980066","Committee to Elect Robert Neitz","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","01/09/2001","T","1999","CandOfficer","Neitz","Robert","","SEN","035","Virginia Republican Party","H","781.81","0.00","0.00","0.00","781.81","0.00","0.00","0.00","0.00","781.81","58761.08","70079.35","1719.98","","","","","","",""
"CC980066","Committee to Elect Robert Neitz","2001","07/16/2001","JUL16_01","01/01/2001","06/30/2001","E","R","","09/18/2001","L","1999","CandOfficer","Neitz","Robert","","SEN","035","Virginia Republican Party","H","781.81","0.00","0.00","0.00","781.81","771.00","0.00","0.00","0.00","10.81","58761.08","70850.35","1719.98","","","","","","",""
"CC980067","Don Williams for the House of Delegates","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","01/17/2001","T","1999","CandOfficer","Williams","Donald","","HOD","086","Virginia Democratic Party","H","17962.02","750.00","0.00","0.00","18712.02","2207.05","0.00","0.00","0.00","16504.97","369192.64","394076.67","40000.00","","","","","","",""
"CC980067","Don Williams for the House of Delegates","2001","01/15/2002","JAN15_02","07/01/2001","12/31/2001","E","F","","07/18/2002","T","1999","CandOfficer","Williams","Donald","","HOD","086","Virginia Democratic Party","H","23140.80","21632.36","0.00","0.00","44773.16","4773.16","40000.00","0.00","0.00","0.00","400701.04","442090.04","0.00","","","","","","",""
"CC980073","Howell for Delegate","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","F","","02/21/2001","T","1999","CandOfficer","Howell","William","J.","HOD","028","Virginia Republican Party","H","21789.15","15221.98","303.95","0.00","37315.08","16662.48","0.00","20652.60","0.00","0.00","76284.80","71451.94","0.00","","","","","","",""
"CC980075","Friends of Beverly J. Sherwood","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","F","","01/19/2001","T","1999","CandOfficer","Sherwood","Beverly","J","HOD","029","Virginia Republican Party","H","22565.76","750.00","0.00","0.00","23315.76","1976.67","0.00","21339.09","0.00","0.00","33329.18","12704.43","0.00","","","","","","",""
"CC980085","Friends of Mike Pocalyko","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","04/05/2001","T","1999","CandOfficer","Pocalyko","Michael","N","HOD","036","Virginia Republican Party","H","843.32","299.50","0.00","245.25","1388.07","664.50","0.00","0.00","0.00","723.57","116135.80","143757.48","0.00","","","","","","",""
"CC980090","Puller For Senate","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","D","R","","01/16/2001","T","1999","CandOfficer","Puller","Linda","T","SEN","036","Virginia Democratic Party","H","35443.95","4370.00","544.19","0.00","40358.14","9473.30","0.00","0.00","0.00","30884.84","364929.87","335961.38","0.00","","","","","","",""
"CC980094","Diamonstein Re-election Campaign","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","04/05/2001","T","1999","CandOfficer","Diamonstein","Alan","A","HOD","094","Virginia Democratic Party","H","6171.80","10872.72","345.10","6800.00","24189.62","20754.03","0.00","0.00","0.00","3435.59","576578.28","597275.58","17800.00","","","","","","",""
