"Committee Code","Committee Type","Report Year","Report Due Date","Report Code","Report Start Date","Report Ending Date","Fling Source Type","Filing Type","Amended Count","Date Received","Filing Status","ELECTION_YEAR","Officer Position","Last Name","First Name","Middle Name","Office Code","Office Sub Code","Party","SCHED_ID","Sum Contrib A","Qty Contrib A","Sum Contrib B","Qty Contrib B","Sub Unitemized Contrib","Qty UnItemized Contrib","Sum Contrib C","Qty Contrib C","Total Contrib","Total Qty Contrib","Sum Exp B","Sum Exp D","Begin Loan Bal","Sum Loans Recvd E","Sum Loans Paid E","End Loan Bal","Sum Unitemized Contrib2","Qty Unitemized Contrib2","Sum Unitemized Contrib2 Exp"
"CC980053","Friends of Vance Wilkins, Jr.","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","F","","07/17/2003","T","1999","CandOfficer","Wilkins","S.","Vance","HOD","024","Virginia Republican Party","G","132350.00","159","0.00","0","975.00","11","0.00","0","133325.00","170","0.00","78935.21","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980066","Committee to Elect Robert Neitz","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","01/09/2001","T","1999","CandOfficer","Neitz","Robert","","SEN","035","Virginia Republican Party","G","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0.00","12000.00","0.00","0.00","12000.00","0.00","0","0.00"
"CC980066","Committee to Elect Robert Neitz","2001","07/16/2001","JUL16_01","01/01/2001","06/30/2001","E","R","","09/18/2001","L","1999","CandOfficer","Neitz","Robert","","SEN","035","Virginia Republican Party","G","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","771.00","12000.00","0.00","0.00","12000.00","0.00","0","0.00"
"CC980067","Don Williams for the House of Delegates","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","01/17/2001","T","1999","CandOfficer","Williams","Donald","","HOD","086","Virginia Democratic Party","G","750.00","3","0.00","0","0.00","0","0.00","0","750.00","3","0.00","2207.05","40000.00","0.00","0.00","40000.00","0.00","0","0.00"
"CC980067","Don Williams for the House of Delegates","2001","01/15/2002","JAN15_02","07/01/2001","12/31/2001","E","F","","07/18/2002","T","1999","CandOfficer","Williams","Donald","","HOD","086","Virginia Democratic Party","G","21632.36","3","0.00","0","0.00","0","0.00","0","21632.36","3","0.00","4773.16","40000.00","0.00","40000.00","0.00","0.00","0","0.00"
"CC980073","Howell for Delegate","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","F","","02/21/2001","T","1999","CandOfficer","Howell","William","J.","HOD","028","Virginia Republican Party","G","14350.00","38","771.98","1","100.00","1","303.95","0","15221.98","40","771.98","15890.50","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980075","Friends of Beverly J. Sherwood","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","F","","01/19/2001","T","1999","CandOfficer","Sherwood","Beverly","J","HOD","029","Virginia Republican Party","G","750.00","2","0.00","0","0.00","0","0.00","0","750.00","2","0.00","1976.67","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980085","Friends of Mike Pocalyko","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","04/05/2001","T","1999","CandOfficer","Pocalyko","Michael","N","HOD","036","Virginia Republican Party","G","0.00","0","177.00","4","0.00","0","0.00","0","299.50","7","177.00","365.00","30845.25","245.25","0.00","31090.50","122.50","3","122.50"
"CC980090","Puller For Senate","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","D","R","","01/16/2001","T","1999","CandOfficer","Puller","Linda","T","SEN","036","Virginia Democratic Party","G","3895.00","22","0.00","0","475.00","18","544.19","0","4370.00","40","0.00","9473.30","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980094","Diamonstein Re-election Campaign","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","04/05/2001","T","1999","CandOfficer","Diamonstein","Alan","A","HOD","094","Virginia Democratic Party","G","9150.00","16","1722.72","1","0.00","0","345.10","0","10872.72","17","1722.72","19031.31","19000.00","6800.00","0.00","25800.00","0.00","0","0.00"
"CC980095","Committee to Re-Elect Dickinson","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","F","","01/09/2001","T","1999","CandOfficer","Dickinson","V.","Earl","HOD","056","Virginia Democratic Party","G","29650.00","74","505.95","1","450.00","5","160.74","0","30605.95","80","505.95","13810.48","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980097","Re-elect Senator Mary Margaret Whipple","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","D","R","","01/16/2001","T","1999","CandOfficer","Whipple","Mary","Margaret","SEN","031","Virginia Democratic Party","G","6000.00","6","0.00","0","0.00","0","164.22","0","6000.00","6","0.00","4000.00","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980100","Friends of Morgan Griffith","2001","09/17/2001","SEPN17_01","07/01/2001","08/31/2001","E","R","","09/17/2001","T","2000","CandOfficer","Griffith","H","Morgan","HOD","008","Virginia Republican Party","G","43725.00","97","110.50","1","4805.00","116","352.80","0","48640.50","214","110.50","28926.10","400.00","0.00","0.00","400.00","0.00","0","0.00"
"CC980101","Watts for Delegate","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","F","","02/21/2001","T","2001","CandOfficer","Watts","Vivian","E","HOD","039","Virginia Democratic Party","G","2500.00","9","0.00","0","50.00","1","0.00","0","2550.00","10","0.00","3000.00","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980103","Chichester for Senate","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","A","","03/29/2001","T","2003","CandOfficer","Chichester","John","H.","SEN","028","Virginia Republican Party","G","14650.00","26","457.00","1","0.00","0","2223.32","0","15107.00","27","457.00","417.98","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980108","Friends of Fred Quayle","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","D","R","","01/16/2001","T","1999","CandOfficer","Quayle","Frederick","M","SEN","013","Virginia Republican Party","G","4000.00","6","631.13","1","0.00","0","0.00","0","4631.13","7","631.13","1748.21","0.00","300.00","0.00","300.00","0.00","0","0.00"
"CC980109","Marshall for Delegate","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","D","F","","04/13/2001","T","1999","CandOfficer","Marshall","Robert","G","HOD","013","Virginia Republican Party","G","8375.00","38","1340.00","2","2195.00","53","1271.42","0","11910.00","93","1340.00","3772.52","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980115","Re-elect Flora Crittenden - House of Delegates","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","02/21/2001","T","1999","CandOfficer","Crittenden","Flora","D","HOD","095","Virginia Democratic Party","G","3150.00","6","0.00","0","5.00","3","0.00","0","3155.00","9","0.00","4435.14","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980118","Ingram for Delegate","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","D","R","","01/16/2001","T","1999","CandOfficer","Ingram","Riley","Edward","HOD","062","Virginia Republican Party","G","19310.00","47","747.50","2","275.00","4","919.92","0","20332.50","53","747.50","18087.21","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980125","Re-elect Rust  for Delegate","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","F","","01/17/2001","T","1999","CandOfficer","Rust","John","H","HOD","037","Virginia Republican Party","G","40324.00","127","0.00","0","1205.00","28","0.00","0","41529.00","155","0.00","17756.83","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980127","Friends of Roger McClure","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","01/18/2001","T","1999","CandOfficer","McClure","Roger","J","HOD","067","Virginia Republican Party","G","6834.00","21","0.00","0","720.00","13","0.00","0","7554.00","34","0.00","8263.65","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980127","Friends of Roger McClure","2001","07/16/2001","JUL16_01","01/01/2001","06/30/2001","E","R","","09/06/2001","T","1999","CandOfficer","McClure","Roger","J","HOD","067","Virginia Republican Party","G","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","2500.00","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980127","Friends of Roger McClure","2001","01/15/2002","JAN15_02","07/01/2001","12/31/2001","E","R","","02/06/2002","T","1999","CandOfficer","McClure","Roger","J","HOD","067","Virginia Republican Party","G","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","10540.00","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980130","Re-Elect Johnny S. Joannou Campaign","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","D","F","","02/21/2001","T","1999","CandOfficer","Joannou","Johnny","S.","HOD","079","Virginia Democratic Party","G","6350.00","18","1444.00","1","0.00","0","75.00","0","7794.00","19","1444.00","5911.71","0.00","400.00","400.00","0.00","0.00","0","0.00"
"CC980131","Friends of Jo Ann Davis","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","04/05/2001","T","1999","CandOfficer","Davis","Jo Ann","S","HOD","096","Virginia Republican Party","G","0.00","0","103.56","1","0.00","0","0.00","0","103.56","1","103.56","1256.39","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980132","Byrne for Senate","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","D","R","","01/16/2001","T","1999","CandOfficer","Byrne","Leslie","","SEN","034","Virginia Democratic Party","G","4500.00","24","0.00","0","7400.00","227","98.63","0","11900.00","251","0.00","2999.47","12000.00","0.00","0.00","12000.00","0.00","0","0.00"
"CC980137","Friends of Senator Edd Houck","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","01/09/2001","T","1999","CandOfficer","Houck","R","Edward","SEN","017","Virginia Democratic Party","G","4050.00","9","0.00","0","25.00","1","35.08","0","4075.00","10","0.00","4213.59","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980137","Friends of Senator Edd Houck","2001","01/15/2002","JAN15_02","07/01/2001","12/31/2001","E","R","","01/17/2002","T","1999","CandOfficer","Houck","R","Edward","SEN","017","Virginia Democratic Party","G","5550.00","13","0.00","0","900.00","9","8.05","0","6450.00","22","0.00","4118.23","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980137","Friends of Senator Edd Houck","2001","07/16/2001","JUL16_01","01/01/2001","06/30/2001","E","R","","01/14/2003","T","1999","CandOfficer","Houck","R","Edward","SEN","017","Virginia Democratic Party","G","1800.00","7","0.00","0","100.00","1","25.39","0","1942.75","9","0.00","5000.00","0.00","0.00","0.00","0.00","42.75","1","42.75"
"CC980140","Friends of Harvey Morgan","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","F","","01/17/2001","T","1999","CandOfficer","Morgan","Harvey","","HOD","098","Virginia Republican Party","G","23115.00","54","1500.00","1","2715.00","46","25.00","0","27490.00","103","1500.00","13978.40","0.00","0.00","0.00","0.00","160.00","2","160.00"
"CC980140","Friends of Harvey Morgan","2001","09/17/2001","SEPN17_01","07/01/2001","08/31/2001","E","R","","09/17/2001","T","1999","CandOfficer","Morgan","Harvey","","HOD","098","Virginia Republican Party","G","5250.00","12","0.00","0","170.00","3","352.80","0","5420.00","15","0.00","8748.97","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980153","Friends of Ted Bennett Committee for Re-election","2001","01/15/2002","JAN15_02","07/01/2001","12/31/2001","E","F","","07/18/2002","T","1999","CandOfficer","Bennett","William","W.","HOD","060","Virginia Democratic Party","G","950.00","3","0.00","0","0.00","0","0.00","0","950.00","3","0.00","4832.07","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980156","Friends of Frank Ruff","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","F","","01/09/2001","T","1999","CandOfficer","Ruff","Frank","M.","HOD","061","Virginia Republican Party","G","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","5009.69","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980158","Friends of Eric Cantor","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","F","","02/21/2001","T","1999","CandOfficer","Cantor","Eric","","HOD","073","Virginia Republican Party","G","0.00","0","0.00","0","0.00","0","250.00","0","0.00","0","0.00","3109.00","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980161","J. Michael Sharman for Delegate","2001","07/16/2001","JULN16_01","05/31/2001","06/30/2001","E","R","","10/11/2002","T","1999","CandOfficer","Sharman","J.","Michael","HOD","030","Virginia Republican Party","G","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","48.00","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980162","Jackie Stump for House of Delegates","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","F","","02/21/2001","T","1999","CandOfficer","Stump","Jackie","","HOD","003","Virginia Democratic Party","G","1450.00","2","0.00","0","0.00","0","0.00","0","1450.00","2","0.00","2159.54","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980164","Amundson for Delegate","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","04/05/2001","T","1999","CandOfficer","Amundson","Kristen","J.","HOD","044","Virginia Democratic Party","G","5200.00","23","0.00","0","3679.00","64","0.00","0","8879.00","87","0.00","11463.91","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980173","Citizens for Jim Scott","2001","01/15/2002","JANN15_02","11/30/2001","12/31/2001","E","F","","07/18/2002","T","1999","CandOfficer","Scott","James","M.","HOD","053","Virginia Democratic Party","G","725.00","3","0.00","0","50.00","1","1100.00","0","775.00","4","0.00","1806.69","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980180","Hawkins for Senate","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","02/21/2001","T","1999","CandOfficer","Hawkins","Charles","R.","SEN","019","Virginia Republican Party","G","3150.00","6","0.00","0","0.00","0","516.02","0","3150.00","6","0.00","7993.50","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980192","Ward Armstrong for House of Delegates","2001","07/16/2001","JUL16_01","01/01/2001","06/30/2001","E","F","","08/07/2001","T","1999","CandOfficer","Armstrong","Ward","","HOD","011","Virginia Democratic Party","G","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","2320.52","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980192","Ward Armstrong for House of Delegates","2001","10/15/2001","OCTN15_01","09/01/2001","09/30/2001","E","A","","10/17/2001","T","1999","CandOfficer","Armstrong","Ward","","HOD","011","Virginia Democratic Party","G","24310.00","58","1095.57","2","6217.00","102","270.00","0","31662.57","163","1095.57","23554.67","0.00","0.00","0.00","0.00","40.00","1","40.00"
"CC980192","Ward Armstrong for House of Delegates","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","06/28/2002","L","1999","CandOfficer","Armstrong","Ward","","HOD","011","Virginia Democratic Party","G","6125.00","16","0.00","0","175.00","3","3.25","0","6300.00","19","0.00","9322.98","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980192","Ward Armstrong for House of Delegates","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","06/28/2002","T","1999","CandOfficer","Armstrong","Ward","","HOD","011","Virginia Democratic Party","G","6125.00","16","0.00","0","175.00","3","0.00","0","6300.00","19","0.00","9295.66","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980192","Ward Armstrong for House of Delegates","2001","01/16/2001","JANN16_01","12/01/2000","12/31/2000","E","R","","08/22/2003","T","1999","CandOfficer","Armstrong","Ward","","HOD","011","Virginia Democratic Party","G","6125.00","16","0.00","0","175.00","3","0.00","0","6300.00","19","0.00","9295.66","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980195","Tom Bolvin For Delegate","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","D","R","","01/16/2001","T","1999","CandOfficer","Bolvin","Tom","","HOD","043","Virginia Republican Party","G","16750.00","39","0.00","0","0.00","0","0.00","0","16750.00","39","0.00","14057.43","2000.00","0.00","0.00","2000.00","0.00","0","0.00"
"CC980203","Edwards for Virginia Senate","2001","01/15/2002","JAN15_02","07/01/2001","12/31/2001","E","R","","01/15/2002","T","2003","CandOfficer","Edwards","John","Saul","SEN","021","Virginia Democratic Party","G","8850.00","28","0.00","0","100.00","1","90.09","0","8950.00","29","0.00","11117.36","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980212","Re-Elect Panny Rhodes","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","02/21/2001","T","1999","CandOfficer","Rhodes","Anne","G","HOD","068","Virginia Republican Party","G","18200.00","47","0.00","0","408.00","5","0.00","0","18608.00","52","0.00","1528.84","30000.00","7500.00","0.00","37500.00","0.00","0","0.00"
"CC980214","Spruill-House of Delegates","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","D","F","","01/04/2001","T","1999","CandOfficer","Spruill","Lionell","","HOD","077","Virginia Democratic Party","G","6625.00","26","0.00","0","22.00","4","0.00","0","6647.00","30","0.00","7223.24","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980234","Moran for Delegate","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","F","","01/18/2001","T","1999","CandOfficer","Moran","Brian","J.","HOD","046","Virginia Democratic Party","G","1600.00","5","0.00","0","100.00","1","5771.58","0","1700.00","6","0.00","7366.35","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980238","Friends of Dick Black","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","09/19/2001","T","1999","CandOfficer","Black","Richard","","HOD","032","Virginia Republican Party","G","23550.00","31","557.87","2","100.00","1","33.91","0","24207.87","34","557.87","17753.32","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980238","Friends of Dick Black","2001","07/16/2001","JULN16_01","05/31/2001","06/30/2001","E","F","","09/19/2001","T","1999","CandOfficer","Black","Richard","","HOD","032","Virginia Republican Party","G","1400.00","2","0.00","0","0.00","0","54.56","0","1400.00","2","0.00","5694.26","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980238","Friends of Dick Black","2001","04/16/2001","APRN16_01","01/01/2001","03/31/2001","E","R","","09/19/2001","T","1999","CandOfficer","Black","Richard","","HOD","032","Virginia Republican Party","G","31565.00","53","1431.84","2","2274.00","39","6.31","0","35270.84","94","1431.84","22375.32","0.00","5000.00","0.00","5000.00","0.00","0","0.00"
"CC980238","Friends of Dick Black","2001","06/04/2001","JUNN04_01","04/01/2001","05/30/2001","E","R","","09/19/2001","T","1999","CandOfficer","Black","Richard","","HOD","032","Virginia Republican Party","G","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0.00","5000.00","0.00","0.00","5000.00","0.00","0","0.00"
"CC980239","Friends of Phil Larrabee","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","D","F","","02/21/2001","T","1999","CandOfficer","Larrabee","Phillip","","HOD","091","Virginia Republican Party","G","9650.00","32","0.00","0","790.00","9","0.00","0","10440.00","41","0.00","13319.80","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980240","Re-elect C Richard Cranwell","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","01/18/2001","T","1999","CandOfficer","Cranwell","C","Richard","HOD","014","Virginia Democratic Party","G","42400.00","59","0.00","0","200.00","2","0.00","0","42600.00","61","0.00","16079.90","30000.00","0.00","0.00","30000.00","0.00","0","0.00"
"CC980240","Re-elect C Richard Cranwell","2001","06/04/2001","JUNN04_01","04/01/2001","05/30/2001","E","R","","01/23/2002","T","1999","CandOfficer","Cranwell","C","Richard","HOD","014","Virginia Democratic Party","G","211325.00","20","7500.00","1","16.95","1","0.00","0","218841.95","22","7500.00","39604.60","30000.00","0.00","30000.00","0.00","0.00","0","0.00"
"CC980244","Re-elect Kevin G. Miller","2001","01/16/2001","JAN16_01","07/01/2000","12/31/2000","E","R","","01/09/2001","T","1999","CandOfficer","Miller","Kevin","G.","SEN","026","Virginia Republican Party","G","1702.38","6","0.00","0","0.00","0","0.00","0","1702.38","6","0.00","2100.00","0.00","0.00","0.00","0.00","0.00","0","0.00"
"CC980244","Re-elect Kevin G. Miller","2001","01/15/2002","JAN15_02","07/01/2001","12/31/2001","E","R","","01/17/2002","T","1999","CandOfficer","Miller","Kevin","G.","SEN","026","Virginia Republican Party","G","2500.00","7","0.00","0","100.00","1","0.00","0","2600.00","8","0.00","1500.00","0.00","0.00","0.00","0.00","0.00","0","0.00"
