"Committee Code","Committee Name","Report Year","Report Due Date","Report Code","Report Start Date","Report Ending Date","Fling Source Type","Filing Type","Amended Count","Date Received","Filing Status","Election Year","Officer Position","Last Name","First Name","Middle Name","SCHED_ID","Begin Cash Bal","Receips Line4 G","Receipts Line5 G","Receipts Line10 G","Tot Expend Funds","Exp Line8 G","Exp Line12 G","Surplus XFerred","Tot Surplus I","End Cash Bal","Tot Receipts To Date","Total Exp To Date","Debt Outstanding","Bal Start Cycle","Tot Receipts Line24 Last Rep","Tot Receipts Elec Cycle","Tot Funds Available","Total Disb Last Rep","Total Disb Elec Cycle","Ending Balance"
"91-123","Acre Virginia (Virginia Action Committee For Rural Electrification)","2003","04/28/2003","APRP28_03","02/22/2003","04/25/2003","E","R","","04/29/2003","T","0","Treas","Garber","Manley","","H","42482.15","8906.00","0.00","0.00","51388.15","11080.00","0.00","0.00","0.00","40308.15","336931.45","282545.68","0.00","","","","","","",""
"91-123","Acre Virginia (Virginia Action Committee For Rural Electrification)","2003","05/27/2003","MAYP27_03","04/26/2003","05/21/2003","E","R","","05/29/2003","T","0","Treas","Garber","Manley","","H","40308.15","0.00","0.00","0.00","40308.15","1250.00","0.00","0.00","0.00","39058.15","336931.45","283795.68","0.00","","","","","","",""
"91-123","Acre Virginia (Virginia Action Committee For Rural Electrification)","2003","12/04/2003","DECN04_03","10/23/2003","11/27/2003","E","R","","12/17/2003","T","0","Treas","Garber","Manley","","H","46077.15","8089.50","0.00","0.00","54166.65","1500.00","0.00","0.00","0.00","52666.65","363139.95","296395.68","0.00","","","","","","",""
"91-123","Acre Virginia (Virginia Action Committee For Rural Electrification)","2003","01/15/2004","JANP15_04","10/23/2003","12/31/2003","E","R","","01/12/2004","T","0","Treas","Garber","Manley","","H","46077.15","8089.50","0.00","0.00","54166.65","2250.00","0.00","0.00","0.00","51916.65","363139.95","297145.68","0.00","","","","","","",""
"91-124","Amalgamated Transit Union Committee on Political Education in Virginia","2003","02/24/2003","FEBP24_03","01/01/2003","02/21/2003","E","R","","02/27/2003","T","0","Treasurer","Mathieu","Jacques","C","H","3258.86","0.00","0.00","0.00","3258.86","0.00","0.00","0.00","0.00","3258.86","0.00","0.00","0.00","","","","","","",""
"91-124","Amalgamated Transit Union Committee on Political Education in Virginia","2003","04/28/2003","APRP28_03","02/22/2003","04/25/2003","E","R","","04/29/2003","T","0","Treasurer","Mathieu","Jacques","C","H","3258.86","0.00","0.00","0.00","3258.86","0.00","0.00","0.00","0.00","3258.86","0.00","0.00","0.00","","","","","","",""
"91-124","Amalgamated Transit Union Committee on Political Education in Virginia","2003","05/27/2003","MAYP27_03","04/26/2003","05/21/2003","E","R","","05/29/2003","T","0","Treasurer","Mathieu","Jacques","C","H","3258.86","0.00","0.00","0.00","3258.86","500.00","0.00","0.00","0.00","2758.86","0.00","500.00","0.00","","","","","","",""
"91-124","Amalgamated Transit Union Committee on Political Education in Virginia","2003","07/15/2003","JULP15_03","05/22/2003","06/30/2003","E","R","","07/07/2003","T","0","Treasurer","Mathieu","Jacques","C","H","2758.86","3092.12","0.00","0.00","5850.98","0.00","0.00","0.00","0.00","5850.98","3092.12","0.00","0.00","","","","","","",""
"91-124","Amalgamated Transit Union Committee on Political Education in Virginia","2003","10/27/2003","OCTP27_03","05/22/2003","10/22/2003","E","R","","10/28/2003","T","0","Treasurer","Mathieu","Jacques","C","H","5850.98","6013.74","0.00","0.00","11864.72","10600.00","0.00","0.00","0.00","1264.72","9105.86","10600.00","0.00","","","","","","",""
"91-124","Amalgamated Transit Union Committee on Political Education in Virginia","2003","01/15/2004","JANP15_04","10/23/2003","12/31/2003","E","R","","01/15/2004","T","0","Treasurer","Mathieu","Jacques","C","H","1264.72","3593.62","0.00","0.00","4858.34","524.00","0.00","0.00","0.00","4334.34","12699.48","11124.00","0.00","","","","","","",""
