"Committee Code","Committee Name","Report Year","Report Due Date","Report Code","Report Start Date","Report Ending Date","Fling Source Type","Filing Type","Amended Count","Date Received","Filing Status","Election Year","Officer Position","Last Name","First Name","Middle Name","Office Code","Office Sub Code","Party","SCHED_ID","Begin Cash Bal","Receips Line4 G","Receipts Line5 G","Receipts Line10 G","Tot Expend Funds","Exp Line8 G","Exp Line12 G","Surplus XFerred","Tot Surplus I","End Cash Bal","Tot Receipts To Date","Total Exp To Date","Debt Outstanding","Bal Start Cycle","Tot Receipts Line24 Last Rep","Tot Receipts Elec Cycle","Tot Funds Available","Total Disb Last Rep","Total Disb Elec Cycle","Ending Balance"
"CC980066","Committee to Elect Robert Neitz","2003","01/15/2004","JANN15_04","11/28/2003","12/31/2003","E","R","","01/16/2004","T","1999","CandOfficer","Neitz","Robert","","SEN","035","Virginia Republican Party","H","103.81","0.00","0.00","0.00","103.81","0.00","0.00","0.00","0.00","103.81","58861.08","70857.35","1719.98","","","","","","",""
"CC980074","Hull For Delegate","2003","01/15/2004","JANN15_04","11/28/2003","12/31/2003","D","F","","01/05/2004","F","1999","CandOfficer","Hull","Henry","Lane","HOD","099","Virginia Republican Party","H","288.40","0.00","0.00","0.00","288.40","66.00","0.00","0.00","222.40","0.00","400248.40","401675.38","0.00","","","","","","",""
"CC980085","Friends of Mike Pocalyko","2003","01/15/2004","JAN15_04","07/01/2003","12/31/2003","D","R","","01/15/2004","T","1999","CandOfficer","Pocalyko","Michael","N","HOD","036","Virginia Republican Party","H","265.07","150.00","0.00","0.00","415.07","150.00","0.00","0.00","0.00","265.07","117226.58","144828.37","0.00","","","","","","",""
"CC980090","Puller For Senate","2003","07/15/2003","JUL15_03","01/01/2003","06/30/2003","E","F","","07/17/2003","T","1999","CandOfficer","Puller","Linda","T","SEN","036","Virginia Democratic Party","H","71638.11","3000.00","6309.50","0.00","80947.61","11969.32","0.00","68978.29","0.00","0.00","495020.04","496936.39","0.00","","","","","","",""
"CC980097","Re-elect Senator Mary Margaret Whipple","2003","07/15/2003","JUL15_03","01/01/2003","06/30/2003","D","F","","04/15/2003","T","1999","CandOfficer","Whipple","Mary","Margaret","SEN","031","Virginia Democratic Party","H","15105.93","2530.00","15.78","0.00","17651.71","3302.00","0.00","22247.23","0.00","0.00","117745.32","110147.57","0.00","","","","","","",""
"CC980124","Stephen Smith for Delegate","2003","01/15/2004","JAN15_04","07/01/2003","12/31/2003","D","R","","01/15/2004","T","1999","CandOfficer","Smith","Stephen","F.","HOD","038","Virginia Republican Party","H","774.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","774.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","774.01"
"CC980132","Byrne for Senate","2003","01/15/2004","JAN15_04","07/01/2003","12/31/2003","D","F","","01/15/2004","T","1999","CandOfficer","Byrne","Leslie","","SEN","034","Virginia Democratic Party","H","3427.72","0.00","0.91","0.00","3428.63","2059.22","0.00","1369.41","1369.41","0.00","386062.14","386062.14","0.00","","","","","","",""
"CC980137","Friends of Senator Edd Houck","2003","07/15/2003","JUL15_03","01/01/2003","06/30/2003","E","F","","07/17/2003","T","1999","CandOfficer","Houck","R","Edward","SEN","017","Virginia Democratic Party","H","44700.47","28830.00","16.14","0.00","73546.61","10748.49","0.00","0.00","0.00","62798.12","83128.01","34729.68","0.00","","","","","","",""
"CC980210","Lynch For Delegate","2003","07/15/2003","JUL15_03","01/01/2003","06/30/2003","D","F","","07/15/2003","T","1999","CandOfficer","Lynch","Edward","A.","HOD","014","Virginia Democratic Party","H","179.03","0.00","0.00","0.00","179.03","0.00","0.00","0.00","0.00","0.00","20518.50","19689.50","0.00","","","","","","",""
"CC980244","Re-elect Kevin G. Miller","2003","07/15/2003","JULN15_03","05/29/2003","06/30/2003","E","R","","07/17/2003","T","1999","CandOfficer","Miller","Kevin","G.","SEN","026","Virginia Republican Party","H","7872.30","808.09","0.00","0.00","8680.39","4352.87","0.00","0.00","0.00","4327.52","29468.45","25693.12","0.00","","","","","","",""
