"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"70517","79135","2","2300.00","0",".00","0",".00","0",".00","2","2300.00",".00",".00",".00","1700.00","1700.00",".00",".00",".00",".00",".00","","{6D4E79E4-91C5-66C8-E677-8984785EE938}"
"71118","80678","20","8025.00","0",".00","17","955.00","0",".00","37","8980.00",".00",".00",".00","10692.09","10692.09",".00",".00",".00",".00",".00","","{E95531D4-8780-1B6B-DDFF-EA0F94F7C2ED}"
"72374","82031","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{BA842895-D435-DBCB-A243-C3D0C8EFBEC5}"
"73567","83295","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","747.04","747.04","5.00","88.34","93.34",".00","93.34","","{4FFB2ADC-4F5D-A9E5-6D8E-CF9B62D6609A}"
"73601","83330","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","423.82","423.82",".00",".00",".00",".00",".00","","{41183FE5-0E0E-CE1E-3150-CBE361213003}"
"74930","84795","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E0DCB265-7D4F-54E6-45FC-89C59E38F7AD}"
"74933","84798","1","46.62","0",".00","0",".00","0",".00","1","46.62",".00",".00",".00","1019.92","1019.92","3240.37",".00","3240.37","3240.37",".00","","{E1E67699-DA42-754A-54C4-1C7EFF646EE9}"
"74936","84801","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{0A8CE13E-6D34-E361-F0AB-198A9324B108}"
"74937","84802","6","11300.00","0",".00","0",".00","0",".00","6","11300.00",".00",".00",".00","9941.38","9941.38",".00",".00",".00",".00",".00","","{2555BA68-6841-452A-7668-C23CED85587A}"
"74938","84803","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E382C9CD-0D1B-C750-1A69-35D69DECA727}"
"74939","84804","2","1531.00","0",".00","1","5.00","0",".00","3","1536.00",".00",".00",".00","3350.00","3350.00",".00",".00",".00",".00",".00","","{2EC0EBB9-F5A9-4D31-8FF1-5AD13B6DFE4A}"
"74940","84805","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1000.00","1000.00","400.00","1000.00","1400.00",".00","1400.00","","{1FB91AFB-F42E-D8B1-1707-2ECA6A4C6A35}"
"74941","84806","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","2058.84","2058.84",".00",".00",".00",".00",".00","","{FBBDDB11-C4D6-BDB2-4190-418AB843E01F}"
"74942","84807","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","5.00","5.00","668.16",".00","668.16",".00","668.16","","{82E86BE1-62CB-C7DE-4CDB-0392AFD071BC}"
"74944","84809","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","6819.25","6819.25",".00",".00",".00",".00",".00","","{CC371622-9D09-E9E7-CADB-480569D972CB}"
"74945","84810","0",".00","2","235.88","0",".00","0",".00","2","235.88",".00","235.88",".00","3573.47","3809.35",".00",".00",".00",".00",".00","","{154989F3-4291-3B3F-E646-80283EBEF5DD}"
"74946","84811","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","4000.00","4000.00",".00",".00",".00",".00",".00","","{15C8CFE2-ED38-CC29-ECA8-950110F62745}"
"74947","84812","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","4000.00",".00","4000.00",".00","4000.00","","{746B2829-6D75-ACAA-F8DA-DD75F85F3F0E}"
"74948","84813","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{F9911C64-40D0-F085-B5FA-9A906FF1A5F8}"
"74949","84814","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","13.43","13.43",".00",".00",".00",".00",".00","","{356406DE-A4CD-44F2-0EF7-DC185E3A50B2}"
"74950","84815","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{643ACDE6-0D3A-5694-DFD7-A9EC8CBBED71}"
"74951","84816","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{F8FE89D8-0356-34F2-E737-847B9358177F}"
"74952","84817","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","12000.00",".00","12000.00",".00","12000.00","","{D755E43F-484C-4884-9A51-86D4C6CF9528}"
"74953","84818","1","6100.00","0",".00","0",".00","0",".00","1","6100.00",".00",".00",".00","660.65","660.65","6100.00",".00","6100.00","6100.00",".00","","{60534225-0C3F-C4DC-AC20-6A76A647DF4E}"
"74954","84819","1","660.65","0",".00","0",".00","0",".00","1","660.65",".00",".00",".00","200.00","200.00",".00",".00",".00",".00",".00","","{A0957A0F-BD29-A371-F593-0260C34D0C28}"
"74955","84820","0",".00","0",".00","4","100.00","0",".00","4","100.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{AB02DEBF-A905-6424-42DF-499DA792C3AB}"
"74958","84823","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{2370E225-C429-DD19-CE22-BAA20FBB74C0}"
"74959","84824","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{868AF923-A683-F637-4DEB-FA99316C2D13}"
"74960","84825","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","52700.00",".00","52700.00",".00","52700.00","","{C13356BA-BB02-C599-9DE8-9EB5B036914A}"
"74962","84827","3","1700.00","0",".00","0",".00","0",".00","3","1700.00","69.07",".00",".00","1429.90","1429.90",".00",".00",".00",".00",".00","","{76296E03-5D6C-C6B9-8469-6FE351E70DAE}"
"74963","84828","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","2301.00",".00","2301.00",".00","2301.00","","{1FD3A421-779C-CF96-1248-0E59146ECAFD}"
"74964","84829","0",".00","1","120.85","0",".00","0",".00","1","120.85",".52","120.85",".00",".00","120.85",".00",".00",".00",".00",".00","","{6173F785-36FC-564F-A5BE-8BC1F750A0E8}"
