"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"36460","39531","40211.11",".00",".00",".00",".00","40211.11",".00",".00","40211.11","40211.11",".00",".00","40211.11",".00",".00",".00","40211.11",".00","40211.11","40211.11",".00","","{4058C5B7-F335-1F39-9C5E-3EDDD575EDBE}"
"36908","40034","114.52",".00",".00",".00",".00","114.52",".00",".00",".00",".00","114.52",".00","114.75",".00",".00",".00","114.75",".00",".00",".00","114.75","","{C6FB15FB-F8F5-31A3-529B-82D47B108933}"
"36912","40044","1799.17","172.60",".00",".00","172.60","1971.77","1971.77",".00",".00","1971.77",".00",".00","1799.17",".00","172.60","172.60","1971.77",".00","1971.77","1971.77",".00","","{424C0053-B813-D21C-D55F-05F392868001}"
"36916","40060","11150.00","84529.95",".00",".00","84529.95","95679.95","74962.62",".00",".00","74962.62","20717.33",".00",".00","11347.92","84529.95","95877.87","95877.87","197.92","74962.62","75160.54","20717.33","","{DFEDB1A7-C320-28F1-57D7-91C520A176C5}"
"36928","40079",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{6B37E259-4769-F3A8-A4D3-5A512529DEC1}"
"36929","40082","6002.50","391.90",".00",".00","391.90","6394.40","775.00",".00",".00","775.00","5619.40",".00","6002.50",".00","391.90","391.90","6394.40",".00","775.00","775.00","5619.40","","{046C4D12-EE60-F677-D6E3-4185D98A8348}"
"36940","40096","11150.00","84529.95",".00",".00","84529.95","95679.95","75212.62",".00",".00","75212.62","20467.33",".00",".00","11347.92","84529.95","95877.87","95877.87","197.92","75212.62","75410.54","20467.33","","{DFEDB1A7-C320-28F1-57D7-91C520A176C5}"
"36943","40099","20467.33","8069.43",".00",".00","8069.43","28536.76","17721.99",".00",".00","17721.99","10814.77",".00",".00","95877.87","8069.43","103947.30","103947.30","75410.54","17721.99","93132.53","10814.77","","{D264B730-D6B8-888D-48B6-9FF0CA29ED7C}"
"36944","40100",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A1188942-11EC-037F-13C5-2ADAFBD4A0D1}"
"36949","40107","260.56",".00",".00",".00",".00","260.56","260.56",".00",".00","260.56",".00",".00",".00","23100.00",".00","23100.00","23100.00","22839.44","260.56","23100.00",".00","","{4315F733-B250-5A4F-7C54-990ED9A855DC}"
"36969","40134","531.24","150.00",".00",".00","150.00","681.24","681.24",".00",".00","681.24",".00",".00",".00","2053.50","150.00","2203.50","2203.50","1522.26","681.24","2203.50",".00","","{435B8B7A-19D9-7620-036B-F30FF77C6983}"
"36985","40153","2064.68",".00",".00",".00",".00","2064.68",".00",".00",".00",".00","2064.68",".00","2064.68",".00",".00",".00","2064.68",".00",".00",".00","2064.68","","{B4DDC8DA-AEC9-6063-7A0C-9BD10B44E65F}"
"36992","40156","8027.81","411.90",".00",".00","411.90","8439.71",".00",".00",".00",".00","8439.71",".00","8027.81",".00","411.90","411.90","8439.71",".00",".00",".00","8439.71","","{D4747CBA-EDCA-6F2E-0B4A-152F32DCA848}"
"36998","40165","11380.42",".00",".00",".00",".00","11380.42",".00",".00",".00",".00","11380.42",".00","11380.42",".00",".00",".00","11380.42",".00",".00",".00","11380.42","","{544BC0E4-8153-46F8-0B94-C891D14DC43E}"
"36999","40166","26.64","25.00",".00",".00","25.00","51.64","51.64",".00",".00","51.64",".00",".00",".00","918.00","25.00","943.00","943.00","891.36","51.64","943.00",".00","","{E9B669E7-F937-E6C0-0BED-642A3BAEB7C3}"
"37002","40169","4916.31",".00",".00",".00",".00","4916.31",".00",".00",".00",".00","4916.31","9020.90",".00","3350.00",".00","3350.00","3350.00","2850.00",".00","2850.00","500.00","","{5DF140F7-E55E-4EEF-661C-F8610AA64A8F}"
"37004","40171","4916.31",".00",".00",".00",".00","4916.31",".00",".00",".00",".00","4916.31","9020.90",".00","3350.00",".00","3350.00","3350.00","2850.00",".00","2850.00","500.00","","{891B9A83-A515-FFE5-D969-1290C1286DC1}"
"37005","40172","4916.31",".00",".00",".00",".00","4916.31",".00",".00",".00",".00","4916.31","9020.90",".00","3350.00",".00","3350.00","3350.00","2850.00",".00","2850.00","500.00","","{0D290BD3-F915-9C92-4A59-1E3B7190CE78}"
"37006","40173","4916.31",".00",".00",".00",".00","4916.31",".00",".00",".00",".00","4916.31","9020.90",".00","3350.00",".00","3350.00","3350.00","2850.00",".00","2850.00","500.00","","{898D729C-FDBB-04E8-C816-177DC299D0C0}"
"37011","40179","450.00","4689.00",".00","2643.46","7332.46","7782.46","3042.46",".00",".00","3042.46","4740.00","3112.10",".00","563.94","7332.46","7896.40","7896.40","113.94","3042.46","3156.40","4740.00","","{4B1C0C2F-92BD-EE10-FC2C-2EF6D0A83033}"
"37012","40180","4740.00","1452.57",".00","602.68","2055.25","6795.25","2961.00",".00",".00","2961.00","3834.25","3714.78",".00","7896.40","2055.25","9951.65","9951.65","3156.40","2961.00","6117.40","3834.25","","{AEBA3B53-4428-9F16-CAD1-5BE539391A30}"
"37015","40183","1652.80","995.00",".00",".00","995.00","2647.80","1288.08",".00",".00","1288.08","1359.72","1905.83",".00","5375.83","995.00","6370.83","6370.83","3723.03","1288.08","5011.11","1359.72","","{37ED58F8-B16B-C3BF-93A9-AB62AAB1D4BA}"
"37021","40189","5803.96",".00",".00",".00",".00","5803.96",".00",".00",".00",".00","5803.96",".00",".00","20000.00",".00","20000.00","20000.00","14196.04",".00","14196.04","5803.96","","{B7A59FCC-ED26-F4FD-BE28-40A70DB94DC7}"
"37059","40242",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{C142DA19-C5BD-91D3-0858-2C31C116C1D7}"
"37065","40248",".00","2575.00",".00",".00","2575.00","2575.00","2046.46",".00",".00","2046.46","528.54",".00",".00",".00","2575.00","2575.00","2575.00",".00","2046.46","2046.46","528.54","","{E98AF378-E761-94A1-5748-24558A3CBB6E}"
"37070","40258","655.40","150.00",".00",".00","150.00","805.40","805.40",".00",".00","805.40",".00",".00",".00","2295.00","150.00","2445.00","2445.00","1639.60","805.40","2445.00",".00","","{B0B3C392-FF3C-66C0-1244-040CAC937CEB}"
"37078","40266","235.20",".00",".00",".00",".00","235.20","31.95",".00",".00","31.95","203.25",".00","227.60","90.00",".00","90.00","317.60","82.40","31.95","114.35","203.25","","{6F059696-D232-0ADC-EA17-712B436CAB95}"
"37080","40268","225.20","10.00",".00",".00","10.00","235.20","78.95",".00",".00","78.95","156.25",".00","227.60","80.00","10.00","90.00","317.60","82.40","78.95","161.35","156.25","","{195C38FE-E09B-7BCD-FBE7-29B75D51D0FF}"
"37081","40269","156.25",".00",".00",".00",".00","156.25","31.95",".00",".00","31.95","124.30",".00","227.60","90.00",".00","90.00","317.60","161.35","31.95","193.30","124.30","","{6F059696-D232-0ADC-EA17-712B436CAB95}"
"37083","40271","225.20","50.00",".00",".00","50.00","275.20","78.95",".00",".00","78.95","196.25",".00","227.60","80.00","50.00","130.00","357.60","82.40","78.95","161.35","196.25","","{195C38FE-E09B-7BCD-FBE7-29B75D51D0FF}"
"37084","40272","196.25",".00",".00",".00",".00","196.25","31.95",".00",".00","31.95","164.30",".00","227.60","130.00",".00","130.00","357.60","161.35","31.95","193.30","164.30","","{6F059696-D232-0ADC-EA17-712B436CAB95}"
"37085","40273","164.30","40.00",".00",".00","40.00","204.30","3.80",".00",".00","3.80","200.50",".00","164.30",".00","40.00","40.00","204.30",".00","3.80","3.80","200.50","","{E549443C-CE3B-859C-5F22-3C8275A596F0}"
"37094","40287","17581.71","750.00",".00",".00","750.00","18331.71","1795.09",".00",".00","1795.09","16536.62",".00","16124.04","114312.34","750.00","115062.34","131186.38","112854.67","1795.09","114649.76","16536.62","","{B59A9E4C-30F5-C9B9-1B59-5AFE16195EA8}"
"37095","40288","30957.99","13291.08",".00",".00","13291.08","44249.07","26767.36",".00",".00","26767.36","17481.71",".00","16124.04","101021.26","13291.08","114312.34","130436.38","86187.31","26767.36","112954.67","17481.71","","{A1B4FC7E-3C2B-0939-2546-367AD55B903D}"
"37096","40289","43555.95","24743.24",".00",".00","24743.24","68299.19","37349.24",".00",".00","37349.24","30949.95",".00","16124.04","76278.02","24743.24","101021.26","117145.30","48846.11","37349.24","86195.35","30949.95","","{F395567B-3178-24DC-CE07-4C22A24E5E4D}"
"37097","40290","42956.02","7545.00",".00",".00","7545.00","50501.02","7744.58",".00",".00","7744.58","42756.44",".00","16124.04","68733.02","7545.00","76278.02","92402.06","41901.04","7744.58","49645.62","42756.44","","{BDCDC5C5-8CF9-155A-BE99-29C1D0DE1E96}"
"37098","40291","25855.97","29895.00",".00",".00","29895.00","55750.97","14400.95",".00",".00","14400.95","41350.02",".00","16124.04","38838.02","29895.00","68733.02","84857.06","29106.09","14400.95","43507.04","41350.02","","{E64D4373-CA00-5C99-F7BA-03898CDBAF49}"
"37099","40292","20164.80","9300.00",".00",".00","9300.00","29464.80","3608.83",".00",".00","3608.83","25855.97",".00","16124.04","29538.02","9300.00","38838.02","54962.06","25497.26","3608.83","29106.09","25855.97","","{C37987CF-EECF-F6FF-4245-EB58774E07B4}"
