"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"83198","90683","3537.43","4500.00",".00","2000.00","6500.00","10037.43","9929.12",".00",".00","9929.12","108.31","2000.00","4827.92","21000.00","6500.00","27500.00","32327.92","22290.49","9929.12","32219.61","108.31","","{0A7CB859-0C17-BAE4-917F-78C011C8F2CB}"
"117871","127523","3202.53","1350.00",".00",".00","1350.00","4552.53",".00",".00",".00",".00","4552.53","800.00","819.63","5277.52","1350.00","6627.52","7447.15","2894.62",".00","2894.62","4552.53","","{CA2AB0F5-EEDA-4393-8B86-97D7B929F5A4}"
"118251","128067","175.20",".00",".00",".00",".00","175.20",".00",".00",".00",".00","175.20",".00",".00","100.00",".00","100.00","100.00","24.80",".00","24.80","75.20","","{C0C80733-ACA1-07D6-9EC4-51F3EA1DE0E8}"
"118255","128071","122.28",".00",".00",".00",".00","122.28",".00",".00",".00",".00","122.28",".00",".00","375.00",".00","375.00","375.00","252.72",".00","252.72","122.28","","{6DD0901A-F7FB-8738-C1F3-CFEEA8874773}"
"118256","128073","1481.05",".00",".00",".00",".00","1481.05",".00",".00",".00",".00","1481.05",".00","1897.05",".00",".00",".00","1897.05","416.00",".00","416.00","1481.05","","{14BC69DA-3542-E78E-4CAD-3B68E43200DE}"
"118259","128104","336.23","5702.53",".00",".00","5702.53","6038.76","5633.84",".00",".00","5633.84","404.92","700.00",".00","2711.52","5702.53","8414.05","8414.05","2375.29","5633.84","8009.13","404.92","","{DB5887C8-6D76-3C49-9C42-149B5DAE1709}"
"118261","128117","81.17",".00",".00",".00",".00","81.17",".00",".00",".00",".00","81.17","81.17","355.91","158.47",".00","158.47","514.38","433.21",".00","433.21","81.17","","{8FB71E03-8C65-D772-6950-32B0E572BAD0}"
"118263","128119","172477.74","165458.34","41.37",".00","165499.71","337977.45","236485.50",".00",".00","236485.50","101491.95",".00","42434.93","183863.03","165499.71","349362.74","391797.67","53820.22","236485.50","290305.72","101491.95","","{05B0F641-6121-A24A-D965-DEC0074F1648}"
"118266","128123","290.00","385.00",".00",".00","385.00","675.00","600.12",".00",".00","600.12","74.88",".00",".00","865.00","385.00","1250.00","1250.00","575.00","600.12","1175.12","74.88","","{6731C238-A8E5-04DA-477F-B13796EB545C}"
"118267","128140","228997.98","65539.46","1337.98",".00","66877.44","295875.42","185258.88",".00",".00","185258.88","110616.54",".00","130070.84","150357.74","66877.44","217235.18","347306.02","51430.60","185258.88","236689.48","110616.54","","{E3475293-ECCF-C6DB-57B6-C3B8D9715855}"
