"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"3438","3462","1200.00","950.00",".00",".00","950.00","2150.00",".00",".00",".00",".00","2150.00",".00",".00","1200.00","950.00","2150.00","2150.00",".00",".00",".00","2150.00","","{38A4C742-F4AF-2722-00F1-EA9FFE234F7E}"
"6346","6328","111809.32","8801.00",".00",".00","8801.00","120610.32","1114.63",".00",".00","1114.63","119495.69",".00","111809.32",".00","8801.00","8801.00","120610.32",".00","1114.63","1114.63","119495.69","","{D70001B1-A9F5-6FD1-4D96-C91FA66D957C}"
"6811","6782",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{332CDD92-BF2D-50E1-BEB9-82EA09C5032C}"
"7666","7686","193.67",".00",".00",".00",".00","193.67",".00",".00",".00",".00","193.67",".00","203.67",".00",".00",".00","203.67","10.00",".00","10.00","193.67","","{275D13B2-5275-18A5-6B3E-2A15F32161C4}"
"7669","7689","92.87",".00",".00",".00",".00","92.87",".00",".00",".00",".00","92.87",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{C3249157-1FE5-F90B-524C-ABABE227FC69}"
"7670","7690","18890.92","4809.09",".00",".00","4809.09","23700.01","5644.60",".00",".00","5644.60","18055.41",".00","18412.56","9428.36","4809.09","14237.45","32650.01","8950.00","5644.60","14594.60","18055.41","","{943FD778-16AA-9463-73BA-5233A34C2FB0}"
"7671","7691","25.00",".00",".00",".00",".00","25.00",".00",".00",".00",".00","25.00",".00","25.00","25.00",".00","25.00","50.00",".00",".00",".00","50.00","","{B50228D7-6254-299B-71D4-EC2737654850}"
"7672","7692","140274.99","48870.00",".00",".00","48870.00","189144.99","21419.99",".00",".00","21419.99","167725.00",".00","126985.09","53920.00","48870.00","102790.00","229775.09","40630.10","21419.99","62050.09","167725.00","","{C79458E3-6CE6-7972-EFE1-ADA431532EBB}"
"7674","7694","64022.53","4370.00",".00",".00","4370.00","68392.53","8399.77",".00",".00","8399.77","59992.76",".00","41635.21","45742.00","4370.00","50112.00","91747.21","23354.68","8399.77","31754.45","59992.76","","{F14317E9-D83D-9668-8A94-AB5AFD4930A1}"
"7675","7693","21032.57","8021.50",".00",".00","8021.50","29054.07","6950.00",".00",".00","6950.00","22104.07",".00","18412.56","4620.01","8021.50","12641.51","31054.07","2000.00","6950.00","8950.00","22104.07","","{F7D5A97D-AF3C-B9EC-16A6-772CFBE5C6D3}"
"7676","7695","22104.07","4809.09",".00",".00","4809.09","26913.16","5644.60",".00",".00","5644.60","21268.56",".00","18412.56","12641.51","4809.09","17450.60","35863.16","8950.00","5644.60","14594.60","21268.56","","{943FD778-16AA-9463-73BA-5233A34C2FB0}"
"7677","7696","3563.16","1145.56","400.00",".00","1545.56","5108.72","2086.10",".00",".00","2086.10","3022.62",".00",".00","5104.27","1545.56","6649.83","6649.83","1541.11","2086.10","3627.21","3022.62","","{1B05C1BE-2B20-020D-A41B-5789C2D40320}"
"7678","7697","105.74","100.00",".00",".00","100.00","205.74","120.00",".00",".00","120.00","85.74",".00","191.74","545.00","100.00","645.00","836.74","631.00","120.00","751.00","85.74","","{709B4FE5-5766-6BE9-A46A-D4C228ECEE49}"
"7679","7698","3563.16","1150.56","400.00",".00","1550.56","5113.72","2091.10",".00",".00","2091.10","3022.62",".00",".00","5104.27","1550.56","6654.83","6654.83","1541.11","2091.10","3632.21","3022.62","","{1B05C1BE-2B20-020D-A41B-5789C2D40320}"
"7680","7699","66821.82","15549.42","23.80",".00","15573.22","82395.04","43141.80",".00",".00","43141.80","39253.24",".00","89256.09","48318.02","15573.22","63891.24","153147.33","70752.29","43141.80","113894.09","39253.24","","{F311DD18-9E70-D932-8858-74B7B52D5B7C}"
"7681","7702","861.08","20000.00",".00",".00","20000.00","20861.08","17307.50",".00",".00","17307.50","3553.58",".00","386.08","20000.00","20000.00","40000.00","40386.08","19525.00","17307.50","36832.50","3553.58","","{E20C8400-A90F-9BC0-625E-57BA91DF595C}"
"7684","7706","30833.58","6590.00",".00",".00","6590.00","37423.58","4750.00",".00",".00","4750.00","32673.58",".00","27063.58","13270.00","6590.00","19860.00","46923.58","9500.00","4750.00","14250.00","32673.58","","{604F51A5-E96F-B3CC-6261-6FD1C6395889}"
"7687","7709",".50",".00",".00",".00",".00",".50",".00",".00",".00",".00",".50",".00",".00","428.00",".00","428.00","428.00","427.50",".00","427.50",".50","","{CF46D541-7A7B-2EC7-6C3A-02E10900E0B3}"
"7689","7711","26846.88","8285.00",".00",".00","8285.00","35131.88",".00",".00",".00",".00","35131.88","9000.00",".00","42865.00","8285.00","51150.00","51150.00","16018.12",".00","16018.12","35131.88","","{C2827E48-CB0A-9BA0-5587-65DAA933A2EF}"
"7690","7712","109030.85","21404.23",".00",".00","21404.23","130435.08","57542.22",".00",".00","57542.22","72892.86",".00","69823.56","63110.41","21404.23","84514.64","154338.20","23903.12","57542.22","81445.34","72892.86","","{FB973D27-808E-9A92-409C-BDAF840537AD}"
"7694","7715","4112.87","2224.00",".00",".00","2224.00","6336.87","2762.27",".00",".00","2762.27","3574.60",".00","2352.22","7821.00","2224.00","10045.00","12397.22","6060.35","2762.27","8822.62","3574.60","","{FBFD22EC-97CB-41DD-DB75-78F2C1A3F71E}"
"7695","7716","15.00",".00",".00",".00",".00","15.00",".00",".00",".00",".00","15.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{832541A6-0105-C536-7FA7-A014E4CE51AB}"
"7698","7719",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{84387391-0733-D1C5-B15F-28A7F812966C}"
"7699","7720","1924.82",".00",".00",".00",".00","1924.82",".00",".00",".00",".00","1924.82",".00","1735.53","283.68",".00","283.68","2019.21","94.39",".00","94.39","1924.82","","{46108A53-19D4-CAF9-9D1E-A7E18EBCEAD9}"
"7704","7721","3459.66","10668.98",".64",".00","10669.62","14129.28","8269.15",".00",".00","8269.15","5860.13",".00","7342.94","3651.84","10669.62","14321.46","21664.40","7535.12","8269.15","15804.27","5860.13","","{EE224743-EC8D-5A14-2C8A-A42274B71E5E}"
"7705","7722","1717.38",".00",".00",".00",".00","1717.38",".00",".00",".00",".00","1717.38",".00","1322.38","395.00",".00","395.00","1717.38",".00",".00",".00","1717.38","","{2DAEA85B-DAAD-2C2F-D9E8-47EB9FDD098D}"
"7706","7723","778.74","270.00",".02",".00","270.02","1048.76","70.00",".00",".00","70.00","978.76",".00",".00","800.00","270.02","1070.02","1070.02","21.26","70.00","91.26","978.76","","{49017617-E435-2237-4C8B-741A981B1651}"
"7707","7724","146.77","235.00",".00",".00","235.00","381.77","35.00",".00",".00","35.00","346.77",".00",".00","170.00","235.00","405.00","405.00","23.23","35.00","58.23","346.77","","{0806EB3E-6EEF-3E7A-1744-EF8E32E12738}"
"7708","7725","350.10",".00",".00",".00",".00","350.10",".00",".00",".00",".00","350.10",".00",".00","600.00",".00","600.00","600.00","349.90",".00","349.90","250.10","","{E0002CD0-0AEA-09E0-374B-AC454B44C470}"
"7710","7727","479.28",".00",".00",".00",".00","479.28","30.00",".00",".00","30.00","449.28",".00","79.28","650.00",".00","650.00","729.28","250.00","30.00","280.00","449.28","","{CD16D97D-C0C2-33F4-4BD7-35E6D8DBA2C4}"
"7711","7728","10119.86","1210.00",".00",".00","1210.00","11329.86","263.42",".00",".00","263.42","11066.44",".00","7469.78","5649.00","1210.00","6859.00","14328.78","2998.92","263.42","3262.34","11066.44","","{EB9679D4-48EC-1003-77F1-63B93BB711F0}"
"7713","7730","16611.40","7325.00",".00",".00","7325.00","23936.40","3027.43",".00",".00","3027.43","20908.97",".00",".00","20250.56","7325.00","27575.56","27575.56","3639.16","3027.43","6666.59","20908.97","","{A6AA1B97-EAD7-17CF-D6F6-E3E838C79C0B}"
"7714","7731","3598.13","1100.00",".00",".00","1100.00","4698.13","1315.55",".00",".00","1315.55","3382.58",".00","3074.71","3347.00","1100.00","4447.00","7521.71","2823.58","1315.55","4139.13","3382.58","","{2B10169C-7343-C7B4-7B00-5890AEFB3F7E}"
"7716","7733","4667.63","3951.74",".00",".00","3951.74","8619.37","683.54",".00",".00","683.54","7935.83",".00",".00","12300.06","3951.74","16251.80","16251.80","7632.43","683.54","8315.97","7935.83","","{E3DA942D-9541-04A1-62D5-8C3E90CD61A8}"
"7717","7734","28046.72",".00",".00",".00",".00","28046.72","1857.52",".00",".00","1857.52","26189.20",".00","16405.60","33360.80",".00","33360.80","49766.40","21719.68","1857.52","23577.20","26189.20","","{566F202B-6F78-BD69-D85E-8F047AB5D0E1}"
"7719","7736","522.85",".00",".00",".00",".00","522.85",".00",".00",".00",".00","522.85",".00","472.85","50.00",".00","50.00","522.85",".00",".00",".00","522.85","","{C701A8D4-DFD0-4046-A151-BC090849C5EF}"
"7720","7737","15240.41",".00",".00",".00",".00","15240.41",".00",".00",".00",".00","15240.41",".00","15350.41",".00",".00",".00","15350.41","110.00",".00","110.00","15240.41","","{9374215E-48FD-0145-89DA-CD8682147E43}"
"7723","7738","9081.34","14422.50",".00",".00","14422.50","23503.84","4316.44",".00",".00","4316.44","19187.40",".00","4287.34","5102.50","14422.50","19525.00","23812.34","308.50","4316.44","4624.94","19187.40","","{7EE50A2F-D16A-AB8F-6B7A-883388A524F6}"
"7724","7740","19588.22","8685.00",".00",".00","8685.00","28273.22","1248.26",".00",".00","1248.26","27024.96","5000.00",".00","130203.68","8685.00","138888.68","138888.68","110615.46","1248.26","111863.72","27024.96","","{3D715D94-CEE1-625B-971F-24395B7F5273}"
"7725","7741","16561.59","9575.00",".00",".00","9575.00","26136.59","11300.00",".00",".00","11300.00","14836.59",".00","26103.91","19169.68","9575.00","28744.68","54848.59","28712.00","11300.00","40012.00","14836.59","","{DC880A3B-1E5E-04CD-9B7E-83E53527B160}"
"7726","7742","99611.40","4194.98",".00",".00","4194.98","103806.38","26504.00",".00",".00","26504.00","77302.38",".00","44386.00","135823.40","4194.98","140018.38","184404.38","80598.00","26504.00","107102.00","77302.38","","{4333666D-C455-1389-721C-A38A896B2092}"
"7727","7743","6152.11","1250.00",".00",".00","1250.00","7402.11","5500.00",".00",".00","5500.00","1902.11",".00","7152.11","500.00","1250.00","1750.00","8902.11","1500.00","5500.00","7000.00","1902.11","","{7D10CA2F-8C65-527F-51D5-9679A032B5B3}"
"7730","7746","754.44",".00",".00",".00",".00","754.44",".00",".00",".00",".00","754.44",".00","754.44",".00",".00",".00","754.44",".00",".00",".00","754.44","","{A977F3D4-CE87-6B23-FBA2-3D75CD276152}"
"7731","7747","1150.00",".00",".00",".00",".00","1150.00",".00",".00",".00",".00","1150.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{3194E407-559A-1667-28AA-78B83CFC0214}"
