"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"106421","114968",".00","3164.91",".00","300.00","3464.91","3464.91","1534.92",".00",".00","1534.92","1929.99","300.00",".00",".00","3464.91","3464.91","3464.91",".00","1534.92","1534.92","1929.99","","{269C0564-E0DD-CCBE-47B5-4378E13A619B}"
"113384","122392",".00","585.00",".00",".00","585.00","585.00","358.17",".00",".00","358.17","226.83",".00",".00",".00","585.00","585.00","585.00",".00","358.17","358.17","226.83","","{662FF450-0E80-E35C-D394-B998179024E9}"
"113686","122780","51893.73","145493.38",".00",".00","145493.38","197387.11","106908.42",".00",".00","106908.42","90478.69",".00","1165.48","197542.26","145493.38","343035.64","344201.12","146814.01","106908.42","253722.43","90478.69","","{40138587-2B49-C917-72A2-8FF55C758EE7}"
"113795","122934","1855.19",".00",".00",".00",".00","1855.19",".00",".00",".00",".00","1855.19",".00","1855.19",".00",".00",".00","1855.19",".00",".00",".00","1855.19","","{909DC5D9-AB18-1F47-844F-81592791BF82}"
"113797","122936","145.35","1000.00",".00","500.00","1500.00","1645.35","175.14",".00",".00","175.14","1470.21","500.00",".00","845.00","1500.00","2345.00","2345.00","699.65","175.14","874.79","1470.21","","{486F9F73-BCFE-8519-3A92-F5B64AAE12AA}"
"113798","122937","282.60","670.00",".00",".00","670.00","952.60","234.76",".00",".00","234.76","717.84",".00",".00","921.00","670.00","1591.00","1591.00","638.40","234.76","873.16","717.84","","{3191B021-E241-8CE9-9376-8F6FF4F9D394}"
"113799","122938","2572.78","67.22",".00",".00","67.22","2640.00","83.02",".00",".00","83.02","2556.98",".00","2193.42","379.36","67.22","446.58","2640.00",".00","83.02","83.02","2556.98","","{17556975-07F3-793C-B72F-84A4A3563974}"
"113800","122939","15.35","6896.68",".00",".00","6896.68","6912.03","5647.83",".00",".00","5647.83","1264.20","437.00",".00","3717.00","6896.68","10613.68","10613.68","3701.65","5647.83","9349.48","1264.20","","{38A29008-422B-ECE3-8122-EF8F37514F0C}"
"113801","122940","10978.29","360.00",".00",".00","360.00","11338.29","150.00",".00",".00","150.00","11188.29","9030.11","9213.18","7060.22","360.00","7420.22","16633.40","5295.11","150.00","5445.11","11188.29","","{F2311992-0320-2ECC-2245-54122B4B7565}"
"113802","122941","33328.04",".00",".00",".00",".00","33328.04","19648.81",".00",".00","19648.81","13679.23",".00","39081.92","158234.46",".00","158234.46","197316.38","163988.34","19648.81","183637.15","13679.23","","{E302B857-7984-E233-B776-5C5DD0FF8405}"
"113803","122942","1690.96",".00",".00",".00",".00","1690.96",".00",".00",".00",".00","1690.96",".00","1690.96",".00",".00",".00","1690.96",".00",".00",".00","1690.96","","{D7EF3587-7E65-99A5-493E-0273271D67B8}"
"113804","122943","22596.67","435.00",".00",".00","435.00","23031.67","561.07",".00",".00","561.07","22470.60",".00","11576.95","14495.00","435.00","14930.00","26506.95","3475.28","561.07","4036.35","22470.60","","{B11709D2-17C4-14B4-1184-CB0868EB8518}"
"113805","122944","1330.89","2353.00",".00",".00","2353.00","3683.89","1745.89",".00",".00","1745.89","1938.00",".00",".00","1507.00","2353.00","3860.00","3860.00","176.11","1745.89","1922.00","1938.00","","{22C39DF2-C35D-BC96-2377-D625DFF39903}"
"113807","122945","4996.00","4410.00",".00",".00","4410.00","9406.00","2071.58",".00",".00","2071.58","7334.42",".00",".00","7340.00","4410.00","11750.00","11750.00","2344.00","2071.58","4415.58","7334.42","","{DE60E7BB-E32E-891A-A3EC-74FD4BDADF98}"
"113809","122947","1007.62",".00",".00",".00",".00","1007.62",".00",".00",".00",".00","1007.62",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{65915871-2992-067F-F9D7-F1CE3DCE8563}"
"113810","122948","1476.04",".00",".00",".00",".00","1476.04",".00",".00",".00",".00","1476.04","1068.99","1476.04",".00",".00",".00","1476.04",".00",".00",".00","1476.04","","{6F135434-8102-62F6-ABB9-30348BDEB604}"
"113811","122949",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{C6D89AA0-1478-E0E8-0CCD-93CB8B8EA63E}"
"113812","122950","397.05",".00",".00",".00",".00","397.05",".00",".00",".00",".00","397.05",".00","397.05",".00",".00",".00","397.05",".00",".00",".00","397.05","","{F7983BD2-3D2B-5209-5895-E7CC3F29C501}"
"113813","122951","18850.77","1250.00",".00",".00","1250.00","20100.77",".00",".00",".00",".00","20100.77",".00","15285.77","3565.00","1250.00","4815.00","20100.77",".00",".00",".00","20100.77","","{13C9CF0E-CF7C-F1B5-B03D-2703A100A210}"
"113814","122952","25.00",".00",".00",".00",".00","25.00",".00",".00",".00",".00","25.00",".00",".00","25.00",".00","25.00","25.00",".00",".00",".00","25.00","","{DD8DA9B8-8E4C-489B-5798-5EF43A15AEB0}"
"113815","122953","18850.77","1250.00",".00",".00","1250.00","20100.77",".00",".00",".00",".00","20100.77",".00","15285.77","3565.00","1250.00","4815.00","20100.77",".00",".00",".00","20100.77","","{13C9CF0E-CF7C-F1B5-B03D-2703A100A210}"
"113816","122954","1309.44",".00",".00",".00",".00","1309.44","12.00",".00",".00","12.00","1297.44",".00","1333.44",".00",".00",".00","1333.44","24.00","12.00","36.00","1297.44","","{FA432ECF-4554-6785-EDB3-1F3BBBBC8176}"
"113817","122955",".69",".00",".00",".00",".00",".69",".00",".00",".00",".00",".69",".00",".00","806.05",".00","806.05","806.05","805.36",".00","805.36",".69","","{81E67E2C-AD80-498C-B90B-20E5ADE131F4}"
"113818","122956","4149.75","5372.03",".00",".00","5372.03","9521.78","3397.72",".00",".00","3397.72","6124.06",".00",".00","8005.83","5372.03","13377.86","13377.86","3856.08","3397.72","7253.80","6124.06","","{75C5FA50-C9E4-FFF6-F184-C816F1377415}"
"113824","122963","76.72",".00",".00",".00",".00","76.72",".00",".00",".00",".00","76.72",".00","176.72",".00",".00",".00","176.72","100.00",".00","100.00","76.72","","{23B1507F-B9E7-3AC4-C902-9CD3FC5A4660}"
"113825","122964","3583.73","15025.00",".00",".00","15025.00","18608.73","605.00",".00",".00","605.00","18003.73",".00","3774.32","500.00","15025.00","15525.00","19299.32","690.59","605.00","1295.59","18003.73","","{56767D55-4DFA-22F0-BECA-81F71D5E4D88}"
"113827","122966","446.85",".00",".00",".00",".00","446.85",".00",".00",".00",".00","446.85",".00","446.85",".00",".00",".00","446.85",".00",".00",".00","446.85","","{A037D044-311A-AF58-5D4F-A0370576DF33}"
"113829","122968","1603.06",".00",".00",".00",".00","1603.06",".00",".00",".00",".00","1603.06",".00","3412.63","26489.42",".00","26489.42","29902.05","28298.99",".00","28298.99","1603.06","","{BA6B6925-4A61-B5FC-1D91-E858F5CEAFEA}"
"113830","122969",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{6570F7D3-8E90-9499-F212-AA04339DCC6C}"
"113831","122970","7170.46","7902.20",".00",".00","7902.20","15072.66","9300.57",".00",".00","9300.57","5772.09",".00",".00","9400.35","7902.20","17302.55","17302.55","2229.89","9300.57","11530.46","5772.09","","{65311469-2DBC-6720-13D0-EF2ECAB5EDEF}"
"113832","122971","5772.09","4772.68",".00",".00","4772.68","10544.77","4662.39",".00",".00","4662.39","5882.38",".00",".00","17302.55","4772.68","22075.23","22075.23","11530.46","4662.39","16192.85","5882.38","","{DACB304E-A417-21D9-E11A-78EFE1CCAB07}"
"113834","122973","47267.54",".00",".00",".00",".00","47267.54","7101.00",".00",".00","7101.00","40166.54",".00","8386.69","101590.10",".00","101590.10","109976.79","62709.25","7101.00","69810.25","40166.54","","{CC25596A-FA2A-227D-7586-82C6ED4384EC}"
"113835","122974","3743.35","918.95",".00",".00","918.95","4662.30","1335.41",".00",".00","1335.41","3326.89","100.00",".00","5239.99","918.95","6158.94","6158.94","1496.64","1335.41","2832.05","3326.89","","{643151C6-78F5-D1F6-CB6E-CD007CCE9E21}"
"113836","122975","417.90","225.00",".00",".00","225.00","642.90",".00",".00",".00",".00","642.90","100.00",".00","1090.00","225.00","1315.00","1315.00","672.10",".00","672.10","642.90","","{5FC298A0-EE18-1D49-CA41-4194D15F1415}"
