"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"111689","124518","23","7473.98","0",".00","147","7886.00","0",".00","170","15359.98","3.68",".00",".00","22915.05","22915.05",".00",".00",".00",".00",".00","","{AC6EBEA8-1106-C155-6B15-C35D9D071985}"
"111690","124519","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","100.00",".00","100.00",".00","100.00","","{ECA7B45C-9820-B416-7DDE-3E9733BE4858}"
"111691","124520","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","85000.00","85000.00",".00",".00",".00",".00",".00","","{986E6C4C-14B8-7159-0CFC-149E588568C4}"
"111696","124525","3","165.00","0",".00","0",".00","0",".00","3","165.00",".00",".00",".00","247.51","247.51",".00",".00",".00",".00",".00","","{A1A098F9-B2FA-76A1-924C-036CA20F85F8}"
"111701","124530","1","805.20","0",".00","0",".00","0",".00","1","805.20",".00",".00",".00","3059.55","3059.55",".00",".00",".00",".00",".00","","{EB7A7AC6-D5BE-1FE4-B382-AB50AB12DB27}"
"111703","124532","0",".00","0",".00","17","64.45","0",".00","17","64.45",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{634BAA3D-D328-B8C1-6586-4D46FCDFBB01}"
"111704","124533","3","155.00","0",".00","49","870.00","0",".00","52","1025.00",".00",".00",".00","3652.00","3652.00",".00",".00",".00",".00",".00","","{5A85EBFF-701B-1A1A-FD14-6163AD1EAF87}"
"111706","124535","35","10530.00","10","1295.00","40","2005.00","3","140.00","88","13970.00",".00","1295.00","140.00","997.08","2432.08",".00",".00",".00",".00",".00","","{3A51C848-F357-2521-1A9A-1372A55BF044}"
"111707","124536","24","18900.00","1","1250.00","0",".00","0",".00","25","20150.00",".00","1250.00",".00","2504.85","3754.85","-6756.52",".00","-6756.52",".00","-6756.52","","{0C971BAE-4F51-0EEA-5104-6E6833705A65}"
"111708","124537","43","12050.00","3","856.77","21","1235.00","1","1.19","68","14142.96","352.80","856.77","1.19","10095.67","10953.63",".00",".00",".00",".00",".00","","{CF69E93B-D7AD-F892-D59E-DE5B09BD98C3}"
"111709","124538","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1400.00","1400.00",".00",".00",".00",".00",".00","","{40496DBD-D2BC-6A4E-DC82-FED7424A73E4}"
"111711","124541","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{B36C0BB3-6997-E6DB-99DA-4AE4298E9461}"
"111714","124543","15","19103.60","0",".00","137","6245.00","0",".00","152","25348.60",".00",".00",".00","28553.84","28553.84",".00",".00",".00",".00",".00","","{A3AC04DB-B146-97AF-6311-90852E4F955D}"
"111715","124544","1","1000.00","0",".00","0",".00","0",".00","1","1000.00",".00",".00",".00","4265.47","4265.47",".00",".00",".00",".00",".00","","{0D399D2B-5777-1323-A211-EB841C35B512}"
"111716","124545","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{6BDC876B-099C-F7D0-B411-DE4F00EC815F}"
"111717","124546","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{6B488D30-9DC0-00AA-920D-008D508867BE}"
"111719","124548","1","100.00","0",".00","3","50.00","0",".00","4","150.00",".00",".00",".00","17569.79","17569.79",".00",".00",".00",".00",".00","","{C17CE264-0462-F632-D8A8-369193D0310E}"
"111720","124549","27","55838.19","0",".00","3","163.00","0",".00","30","56001.19",".00",".00",".00","63575.20","63575.20",".00",".00",".00",".00",".00","","{F00DEE5D-3920-C186-0831-0C51234E250B}"
"111726","124557","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","3885.10",".00","3885.10",".00","3885.10","","{B6B3430E-2B9B-6F62-A2AB-C7787509BC20}"
"111727","124559","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","3885.10",".00","3885.10",".00","3885.10","","{12294701-E1FA-8C57-194C-9658EAF36B80}"
"111728","124560","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","3885.10",".00","3885.10",".00","3885.10","","{91C4E57E-3646-6F18-AE39-A21E2283D6BD}"
