"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"95789","107146","1","1000.00","0",".00","0",".00","0",".00","1","1000.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{5E7C124E-64A7-B950-51CA-85BC829F22E9}"
"96151","107508","3","1500.00","1","763.20","25","1286.00","1","39.00","30","3588.20",".00","763.20","39.00","56.44","858.64",".00",".00",".00",".00",".00","","{298E9484-F37C-3F74-7233-B48ABF09FF70}"
"99530","111138","3","4101.00","0",".00","8","725.00","0",".00","11","4826.00",".00",".00",".00","4.99","4.99",".00",".00",".00",".00",".00","","{66DC3E89-6C1E-E81D-6238-1C094E35BB84}"
"101087","112786","14","3500.00","0",".00","22","1000.50","1","32.63","37","4533.13","496.53",".00","32.63","7733.66","7766.29",".00",".00",".00",".00",".00","","{13AE52C1-BDE5-6D52-8609-78F8759D42B2}"
"103675","115788","1","705.00","0",".00","5","104.00","0",".00","6","809.00",".00",".00",".00","706.80","706.80",".00",".00",".00",".00",".00","","{0ED51D6F-117E-BD56-C281-75D0E7232E9E}"
"103678","115791","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".02",".00",".02",".00",".02","","{E56681B6-F9E2-DDC6-67FC-AB26D0DA7758}"
"103680","115793","6","144.00","0",".00","20","413.00","0",".00","26","557.00",".00",".00",".00","326.07","326.07",".00",".00",".00",".00",".00","","{34EA7C70-471D-1230-2A50-DF9CA3EF41AF}"
"103682","115795","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","185.92","185.92",".00",".00",".00",".00",".00","","{C25D8600-DDAF-08E3-26F3-9F640F1F82D0}"
"103683","115796","1","500.00","0",".00","1","100.00","0",".00","2","600.00",".00",".00",".00","185.00","185.00","100.00",".00","100.00",".00","100.00","","{B835C0B1-EDDB-6521-301A-B85AB39A69E5}"
"103689","115802","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{EAB8781C-E85C-73B7-DF0C-76449AE49580}"
"103690","115803","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{3464DF31-C9F5-3064-2F7B-79AF704A6546}"
"103691","115804","8","3655.32","0",".00","14","755.00","0",".00","22","4410.32",".00",".00",".00","2889.10","2889.10","1000.00","1128.56","2128.56",".00","2128.56","","{625A93EB-8644-65F1-760D-D8DE5827AC0D}"
"103693","115806","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","5991.63","5991.63",".00",".00",".00",".00",".00","","{2A422AC1-9570-69FA-4088-05C6DC136805}"
"103696","115809","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{EEAC0439-B7CF-B273-6BB7-1BFE61D80F4B}"
"103697","115810","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{276F2231-5248-8433-A17F-2DCCC41FD0EF}"
"103698","115811","50","41200.00","2","2560.00","8","585.00","0",".00","60","44345.00",".00","2560.00",".00","31742.63","34302.63",".00",".00",".00",".00",".00","","{1CE22A5F-6707-2E8F-27DC-C91644919B75}"
"103699","115812","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{78E24EBC-154B-9853-5B56-01D4D9D39DE0}"
"103700","115813","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","14000.00","14000.00",".00",".00",".00",".00",".00","","{94BBADCF-546C-7E40-F00B-FDB6A09B3393}"
"103702","115816","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{59744073-A1CF-F634-3E9B-CE6649D344B7}"
"103703","115815","49","16760.00","1","200.00","6","580.00","0",".00","56","17540.00",".00","200.00",".00","10047.30","10247.30",".00",".00",".00",".00",".00","","{57C6869C-6390-D8A7-7FA7-F45864BAF233}"
"103705","115818","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{1540E39A-652C-573A-CD47-AE20285224C8}"
"103707","115820","5","950.00","0",".00","4","400.00","0",".00","9","1350.00",".00",".00",".00","549.00","549.00","100.00",".00","100.00",".00","100.00","","{7FFC9112-53C0-00F8-CBB3-BEF32471A4FF}"
"103708","115821","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","3595.24","3595.24",".00",".00",".00",".00",".00","","{1725EF1F-CEA4-ED37-981E-723E8E422279}"
"103709","115822","8","750.00","0",".00","15","615.00","0",".00","23","1365.00",".00",".00",".00","16.18","16.18",".00",".00",".00",".00",".00","","{0CD1E14E-8DA8-59ED-8ECB-FAF3D6CA59A4}"
"103710","115823","1","99.12","0",".00","8","84.11","0",".00","9","183.23",".00",".00",".00","366.04","366.04","163.25",".00","163.25",".00","163.25","","{D2BE0A18-C72C-F5F2-71AD-10E193FBE044}"
"103711","115824","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","300.00","300.00",".00",".00",".00",".00",".00","","{2B04AF0E-0D21-13D4-2AB6-983F3E778024}"
"103713","115826","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","18034.06",".00","18034.06",".00","18034.06","","{2E6AEEA5-FB7C-A9CF-04E7-BBC0628DA0AA}"
"103714","115827","6","17150.00","0",".00","1","50.00","0",".00","7","17200.00",".00",".00",".00","27863.54","27863.54","15000.00","1500.00","16500.00",".00","16500.00","","{85B4D1E2-450D-74A3-11F4-27201A5985F0}"
"103715","115828","0",".00","0",".00","2","150.00","0",".00","2","150.00",".00",".00",".00","1114.48","1114.48",".00",".00",".00",".00",".00","","{73B2F870-D182-A0BF-FB69-2D149A024E32}"
"103719","115832","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{C68B0174-7702-D185-9FC2-F13412B04759}"
"103720","115833","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{20ECB203-D09E-35D9-C78D-314E59145A98}"
"103721","115834","0",".00","0",".00","1","92.72","0",".00","1","92.72",".00",".00",".00","188.14","188.14","695.00",".00","695.00",".00","695.00","","{FFC2EFFE-8515-34B4-3392-52F0F485E6C9}"
"103722","115835","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","895.00","895.00","14404.13",".00","14404.13",".00","14404.13","","{061B7695-F87D-EDEF-9F60-E4A520EB363B}"
"103729","115842","0",".00","0",".00","3","36.00","0",".00","3","36.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{FEA0BBB6-1E92-4899-0D21-74350204884C}"
"103734","115847","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E69924F5-833D-81CA-F043-5B1410BD0530}"
"103735","115848","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{30CE3094-70A0-71A7-9DDA-6686B919A879}"
"103737","115850","18","539.00","0",".00","131","2677.00","0",".00","149","3216.00",".00",".00",".00","2479.79","2479.79",".00",".00",".00",".00",".00","","{56BE1EAE-8D4C-9B17-E162-FA8AD329A240}"
"103739","115852","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","207.00","207.00",".00",".00",".00",".00",".00","","{2C438B1E-3B13-A69D-CD13-3388AB0DCF18}"
"103740","115853","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{0EB8DE33-9C3F-1134-2D3C-9F000218E432}"
"103743","115856","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","52700.00",".00","52700.00",".00","52700.00","","{B95AB1F0-03B9-7654-4CEB-8C306CC281A1}"
"103746","115859","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{33445702-E31D-8B00-9115-F7FA565FD9FF}"
"103747","115859","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{33445702-E31D-8B00-9115-F7FA565FD9FF}"
"103748","115860","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{0748EF34-5628-F12E-0E09-8FC8BE2E5B1D}"
"103749","115860","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{0748EF34-5628-F12E-0E09-8FC8BE2E5B1D}"
"103750","115861","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E41F7FB9-313A-4D4E-0A41-F3B3E3D28224}"
"103751","115861","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E41F7FB9-313A-4D4E-0A41-F3B3E3D28224}"
"103754","115864","1","250.00","0",".00","2","150.00","0",".00","3","400.00",".00",".00",".00","311.59","311.59",".00",".00",".00",".00",".00","","{4AEF6314-1E22-702A-E166-63E810F17955}"
"103755","115865","101","23794.21","0",".00","62","2631.67","0",".00","163","26425.88",".00",".00",".00","13011.88","13011.88",".00",".00",".00",".00",".00","","{679ACB2D-3693-992D-91EE-0AB1CDE564D8}"
"103756","115866","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","12.00","12.00",".00",".00",".00",".00",".00","","{F7ABF86B-5B2F-A66E-E2BA-E593B408F98D}"
"103758","115868","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{5C8C71FF-B744-3BAB-4552-56832A20280F}"
"103761","115871","0",".00","0",".00","8","130.00","0",".00","8","130.00",".00",".00",".00","922.96","922.96",".00",".00",".00",".00",".00","","{DB895ADC-602B-DFD0-C94C-9F1F1120DEF5}"
"103762","115873","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","9030.11",".00","9030.11",".00","9030.11","","{45E25498-311B-2902-F0C7-D12820D92FFD}"
"103763","115874","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","492.98","492.98",".00",".00",".00",".00",".00","","{33B54068-4E32-DCA0-E2AD-DCC0D3A2A522}"
"103765","115876","5","1828.45","0",".00","9","211.94","0",".00","14","2040.39",".00",".00",".00","8930.51","8930.51",".00",".00",".00",".00",".00","","{F11A83B2-1935-80ED-3516-A425E1B69CE2}"
"103767","115879","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","4400.00",".00","4400.00",".00","4400.00","","{B62A8229-6C8A-C674-F111-6B907DE6E56A}"
"103768","115880","1","100.00","0",".00","2","200.00","0",".00","3","300.00",".00",".00",".00",".00",".00","6315.00",".00","6315.00",".00","6315.00","","{175D3F9F-7D28-3E59-03AD-77B1FD73B207}"
"103771","115883","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{C170B399-C5A6-BB49-1838-187FB8D8C6CB}"
"103773","115885","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","3822.78",".00","3822.78",".00","3822.78","","{16F4EC9A-F980-4164-B1C9-5D944CA9E6C1}"
"103774","115886","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1146.96","1146.96","26300.00","991.00","27291.00",".00","27291.00","","{0265AEE6-6B37-B5B0-654A-A3AACD140266}"
"103776","115888","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","12.00","12.00",".00",".00",".00",".00",".00","","{5655351D-8B36-D7DE-E0A6-2644E6F294A6}"
"103779","115891","10","10630.00","0",".00","39","2475.00","0",".00","49","13105.00",".00",".00",".00","4568.62","4568.62",".00",".00",".00",".00",".00","","{CA751521-C077-1DF2-ADC4-048FEFFE3655}"
"103781","115893","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{DC00B6D8-ACCF-C4C7-3854-EA1EDE544517}"
"103784","115896","6","1130.00","2","257.00","0",".00","0",".00","8","1387.00",".00","257.00",".00","1173.83","1430.83",".00",".00",".00",".00",".00","","{20C25951-538D-4EC8-3E80-15626DE6D47F}"
"103793","115905","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","600.00",".00","600.00",".00","600.00","","{D26CBEA1-87D9-BCE6-EA42-CEB17070D21D}"
"103798","115910","0",".00","0",".00","1","41.47","0",".00","1","41.47",".00",".00",".00",".00",".00","417.75",".00","417.75","337.69","80.06","","{42C8E90B-6395-D021-7C0C-118206A5340C}"
"103799","115911","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","57.79","57.79",".00",".00",".00",".00",".00","","{ABD56E58-DA3A-862A-C7AD-4EA45FA4E6BD}"
"103801","115913","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","1525.34",".00","1525.34",".00","1525.34","","{F2044DA9-79F4-E305-92D1-048B45FE85A1}"
"103802","115914","7","265.00","0",".00","1","50.00","0",".00","8","315.00",".00",".00",".00","563.94","563.94",".00",".00",".00",".00",".00","","{9ABD4071-D9C2-77EE-B9A6-86043E6456C3}"
"103803","115915","25","7187.00","0",".00","17","1275.00","0",".00","42","8462.00",".00",".00",".00","2294.06","2294.06",".00",".00",".00",".00",".00","","{A6B4515B-3E9F-A6CD-6EB0-1F38436C7F75}"
"103807","115922","51","13182.05","0",".00","39","2300.00","0",".00","90","15482.05",".00",".00",".00","8512.16","8512.16",".00",".00",".00",".00",".00","","{6E5CDAFA-4AAF-A184-2EF0-5C2519A9C352}"
