"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"139597","155628","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","3036.48","3036.48",".00",".00",".00",".00",".00","","{53699AEE-9FF0-157E-ECC4-5182CD793D61}"
"139598","155630","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{288741C5-C132-D994-8344-1E74E0BD05EF}"
"139612","155647","0",".00","0",".00","7","130.50","0",".00","7","130.50",".00",".00",".00","42.00","42.00",".00",".00",".00",".00",".00","","{C8BDF926-6DDE-0477-54F3-832752E94497}"
"139618","155657","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","660.00","660.00",".00",".00",".00",".00",".00","","{D4AFCB67-B9DB-487A-FAAC-5D9DE45CFC4B}"
"139636","155675","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","286.82","286.82",".00",".00",".00",".00",".00","","{C287B325-43D9-8BEF-D1B5-C453789E48F9}"
"139638","155677","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{86227E04-2771-BE9D-50FD-B5B89A433E3C}"
"139654","155693","15","5950.00","2","27956.78","31","1590.00","0",".00","48","35496.78",".00","27956.78",".00","8017.72","35974.50",".00",".00",".00",".00",".00","","{6AE6B8D4-C53C-7BA5-86D1-0C453153CDF6}"
"139655","155694","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","6157.14","6157.14",".00",".00",".00",".00",".00","","{32DE4CCD-0A25-FDEB-E7A3-2D9D84D248D6}"
"139657","155696","1","796.11","0",".00","0",".00","0",".00","1","796.11",".00",".00",".00","796.11","796.11",".00",".00",".00",".00",".00","","{9811E4C2-C7BE-B822-69DB-CE8242EEB2E3}"
"139665","155704","1","2229.98","0",".00","0",".00","0",".00","1","2229.98",".00",".00",".00",".00",".00","2259.98",".00","2259.98","2259.98",".00","","{1C489928-C599-3E76-CBEE-8B5FBDE644E1}"
"139678","155721","1","365.70","0",".00","0",".00","0",".00","1","365.70",".00",".00",".00",".00",".00","800.00",".00","800.00","800.00",".00","","{B1A9B162-6DEF-70D8-10FE-10919D362299}"
