"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"133416","144566","2202.34",".00",".00",".00",".00","2202.34",".00",".00",".00",".00","2202.34",".00","2202.34",".00",".00",".00","2202.34",".00",".00",".00","2202.34","","{75DC65D7-BB93-5A8A-8EF9-5FC0BA555055}"
"133420","144570","292.02",".00",".00",".00",".00","292.02","262.10",".00",".00","262.10","29.92",".00",".00","812.00",".00","812.00","812.00","519.98","262.10","782.08","29.92","","{960F52BD-26DC-5206-1ACE-59946DF3F9C7}"
"133430","144582","1518.09",".00",".00",".00",".00","1518.09",".00",".00",".00",".00","1518.09",".00","1518.09",".00",".00",".00","1518.09",".00",".00",".00","1518.09","","{D9936401-4D14-876C-E656-802E84E9014F}"
"133431","144583","1518.09",".00",".00",".00",".00","1518.09",".00",".00",".00",".00","1518.09",".00","1518.09",".00",".00",".00","1518.09",".00",".00",".00","1518.09","","{9E1D64FF-179F-8BD8-A7A4-AC38F2896174}"
"133432","144584","1518.09",".00",".00",".00",".00","1518.09",".00",".00",".00",".00","1518.09",".00","1518.09",".00",".00",".00","1518.09",".00",".00",".00","1518.09","","{DD8CA408-75A3-0E1D-0F49-CA54F314B729}"
"133433","144585","1518.09",".00",".00",".00",".00","1518.09",".00",".00",".00",".00","1518.09",".00","1518.09",".00",".00",".00","1518.09",".00",".00",".00","1518.09","","{AA932748-1183-9FCF-F809-585AA7BA20FD}"
"133434","144586","1518.09",".00",".00",".00",".00","1518.09",".00",".00",".00",".00","1518.09",".00","1518.09",".00",".00",".00","1518.09",".00",".00",".00","1518.09","","{DA8C4B20-F3C7-9704-C34F-44AD14C1FF0E}"
"133435","144587","1518.09",".00",".00",".00",".00","1518.09",".00",".00",".00",".00","1518.09",".00","1518.09",".00",".00",".00","1518.09",".00",".00",".00","1518.09","","{F1C75C3C-67E8-9680-1AC3-804654BEBC12}"
"133437","144589","1518.09",".00",".00",".00",".00","1518.09",".00",".00","1518.09","1518.09",".00",".00","1518.09",".00",".00",".00","1518.09",".00","1518.09","1518.09",".00","","{6C192D8F-1525-2530-FBA4-5890D0913837}"
"133470","144625","10408.87","10339.52",".00",".00","10339.52","20748.39","516.68",".00",".00","516.68","20231.71",".00",".00","705815.70","10339.52","716155.22","716155.22","695406.83","516.68","695923.51","20231.71","","{E2567F23-35B0-AFA2-406B-83A943DAA8B7}"
"133482","144637",".00",".00",".00","100.00","100.00","100.00",".00",".00",".00",".00","100.00","100.00",".00",".00","100.00","100.00","100.00",".00",".00",".00","100.00","","{4DA5B706-E7F1-ECC4-4DF8-3B0D77182065}"
"133483","144638","100.00",".00",".00",".00",".00","100.00",".00",".00",".00",".00","100.00","100.00",".00","100.00",".00","100.00","100.00",".00",".00",".00","100.00","","{2EFB7458-312D-5BFB-5A35-2B8D5AA2D714}"
"133484","144639","100.00",".00",".00",".00",".00","100.00",".00",".00",".00",".00","100.00","100.00",".00","100.00",".00","100.00","100.00",".00",".00",".00","100.00","","{F011D848-B0DD-B055-F6AE-45BE69EACA1D}"
"133497","144654","143.44","3555.00",".00",".00","3555.00","3698.44",".00","3555.00","143.44","3698.44",".00",".00","143.44",".00","3555.00","3555.00","3698.44",".00","3698.44","3698.44",".00","","{26D419FF-AB99-4F46-61FD-54014165E83E}"
"133500","144657","552.48",".00",".00",".00",".00","552.48",".00",".00",".00",".00","552.48",".00","552.48",".00",".00",".00","552.48",".00",".00",".00","552.48","","{8A0470B3-3F20-7BE9-3F88-7C217BC91EE4}"
"133504","144661",".00","500.00",".00",".00","500.00","500.00","275.00",".00","225.00","500.00",".00",".00",".00",".00","500.00","500.00","500.00",".00","500.00","500.00",".00","","{678525DB-1602-8606-B828-5FF72931F36D}"
"133506","144663","1325.79","12832.80",".00",".00","12832.80","14158.59","11842.94",".00",".00","11842.94","2315.65",".00",".00","2021.00","12832.80","14853.80","14853.80","695.21","11842.94","12538.15","2315.65","","{3F781C01-138D-683E-5448-59E0FF5B7A10}"
"133510","144667","9307.84","7283.06",".00",".00","7283.06","16590.90","8971.07",".00",".00","8971.07","7619.83","4000.00",".00","62351.19","7283.06","69634.25","69634.25","53043.35","8971.07","62014.42","7619.83","","{64C2183B-40B4-BA03-3B1E-6F03E8CBBD6C}"
"133511","144668","7619.83","17375.79","50.00",".00","17425.79","25045.62","18716.13","4000.00",".00","22716.13","2329.49",".00",".00","69634.25","17425.79","87060.04","87060.04","62014.42","22716.13","84730.55","2329.49","","{6E2E7C22-64DB-CC6B-0245-CFDC12DE0383}"
"133516","144673",".00","100.00",".00","100.00","200.00","200.00",".00",".00",".00",".00","200.00","100.00",".00",".00","200.00","200.00","200.00",".00",".00",".00","200.00","","{A1C22372-3D4E-9108-E977-070B25952757}"
"133517","144674","200.00","121175.00","352.80","2701.41","124229.21","124429.21","1924.71",".00",".00","1924.71","122504.50","2801.41",".00","200.00","124229.21","124429.21","124429.21",".00","1924.71","1924.71","122504.50","","{446CF3C2-DFB3-7CEA-1647-CE47960ABBF6}"
"133519","144676","10332.94","67295.04","525.00",".00","67820.04","78152.98","55178.09",".00",".00","55178.09","22974.89",".00","30156.13","333775.08","67820.04","401595.12","431751.25","353598.27","55178.09","408776.36","22974.89","","{B1029A16-3588-0D7F-3C9E-221BD6E0F52E}"
