"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"129248","144566","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{75DC65D7-BB93-5A8A-8EF9-5FC0BA555055}"
"129252","144570","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","262.10","262.10",".00",".00",".00",".00",".00","","{960F52BD-26DC-5206-1ACE-59946DF3F9C7}"
"129262","144582","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","500.00",".00","500.00",".00","500.00","","{D9936401-4D14-876C-E656-802E84E9014F}"
"129263","144583","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","500.00",".00","500.00",".00","500.00","","{9E1D64FF-179F-8BD8-A7A4-AC38F2896174}"
"129264","144584","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","500.00",".00","500.00",".00","500.00","","{DD8CA408-75A3-0E1D-0F49-CA54F314B729}"
"129265","144585","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","500.00",".00","500.00",".00","500.00","","{AA932748-1183-9FCF-F809-585AA7BA20FD}"
"129266","144586","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","500.00",".00","500.00",".00","500.00","","{DA8C4B20-F3C7-9704-C34F-44AD14C1FF0E}"
"129267","144587","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","500.00",".00","500.00",".00","500.00","","{F1C75C3C-67E8-9680-1AC3-804654BEBC12}"
"129269","144589","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","500.00",".00","500.00",".00","500.00","","{6C192D8F-1525-2530-FBA4-5890D0913837}"
"129302","144625","13","9223.13","0",".00","55","1116.39","0",".00","68","10339.52",".00",".00",".00","516.68","516.68",".00",".00",".00",".00",".00","","{E2567F23-35B0-AFA2-406B-83A943DAA8B7}"
"129314","144637","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00","100.00","100.00",".00","100.00","","{4DA5B706-E7F1-ECC4-4DF8-3B0D77182065}"
"129315","144638","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","100.00",".00","100.00",".00","100.00","","{2EFB7458-312D-5BFB-5A35-2B8D5AA2D714}"
"129316","144639","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","100.00",".00","100.00",".00","100.00","","{F011D848-B0DD-B055-F6AE-45BE69EACA1D}"
"129327","144654","8","3555.00","0",".00","0",".00","0",".00","8","3555.00",".00",".00",".00",".00",".00","3555.00",".00","3555.00","3555.00",".00","","{26D419FF-AB99-4F46-61FD-54014165E83E}"
"129330","144657","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{8A0470B3-3F20-7BE9-3F88-7C217BC91EE4}"
"129334","144661","1","500.00","0",".00","0",".00","0",".00","1","500.00",".00",".00",".00","275.00","275.00",".00",".00",".00",".00",".00","","{678525DB-1602-8606-B828-5FF72931F36D}"
"129336","144663","23","7060.00","21","4649.64","17","990.00","4","133.16","65","12832.80",".00","4649.64","133.16","7060.14","11842.94",".00",".00",".00",".00",".00","","{3F781C01-138D-683E-5448-59E0FF5B7A10}"
"129340","144667","10","3960.00","3","2349.06","12","974.00","0",".00","25","7283.06",".00","2349.06",".00","6622.01","8971.07","4000.00",".00","4000.00",".00","4000.00","","{64C2183B-40B4-BA03-3B1E-6F03E8CBBD6C}"
"129341","144668","13","7795.00","9","9412.62","2","150.00","1","18.17","25","17375.79","50.00","9412.62","18.17","9285.34","18716.13","4000.00",".00","4000.00","4000.00",".00","","{6E2E7C22-64DB-CC6B-0245-CFDC12DE0383}"
"129346","144673","0",".00","0",".00","1","100.00","0",".00","1","100.00",".00",".00",".00",".00",".00",".00","100.00","100.00",".00","100.00","","{A1C22372-3D4E-9108-E977-070B25952757}"
"129347","144674","64","119975.00","0",".00","12","1200.00","0",".00","76","121175.00","352.80",".00",".00","1924.71","1924.71","100.00","2701.41","2801.41",".00","2801.41","","{446CF3C2-DFB3-7CEA-1647-CE47960ABBF6}"
"129349","144676","88","63645.04","0",".00","44","3650.00","0",".00","132","67295.04","525.00",".00",".00","55178.09","55178.09",".00",".00",".00",".00",".00","","{B1029A16-3588-0D7F-3C9E-221BD6E0F52E}"
"129360","144688","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{2E59EC41-661F-D9A4-E0C7-B35D86A6152F}"
"129361","144689","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","954.69",".00","954.69",".00","954.69","","{C8F0CB2E-BD98-E836-91B3-1AE4334A2ACF}"
"129363","144691","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{9901E2A3-8B1D-B800-96E8-3CEC99BAEE7E}"
"129365","144693","13","7795.00","9","9412.62","2","150.00","1","18.17","25","17375.79","50.00","9412.62","18.17","9285.34","18716.13","4000.00",".00","4000.00","4000.00",".00","","{6E2E7C22-64DB-CC6B-0245-CFDC12DE0383}"
"129366","144694","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{6834BB35-766D-BF7B-7F36-456F9194302F}"
"129374","144704","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{61A06DB1-6231-B37B-B4B8-9D9A15C43A7D}"
"129375","144705","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{61A06DB1-6231-B37B-B4B8-9D9A15C43A7D}"
"129380","144714","1","250.00","0",".00","1","50.00","2","43.49","4","343.49","2683.32",".00","43.49","3960.86","4004.35",".00",".00",".00",".00",".00","","{E25AFA34-7E80-02F7-8AAA-00B7796ED243}"
"129408","144742","6","1790.88","0",".00","3","175.00","0",".00","9","1965.88",".00",".00",".00","879.38","879.38","1700.00",".00","1700.00",".00","1700.00","","{36F5946C-81CE-7D12-82BD-AA9B2847DDD1}"
"129409","144743","0",".00","0",".00","1","50.00","0",".00","1","50.00",".00",".00",".00","85.00","85.00","1700.00",".00","1700.00",".00","1700.00","","{9CBB225C-CADB-D097-194F-F2F50DF37445}"
"129410","144744","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","705.60","705.60",".00","705.60","705.60",".00","705.60","","{BC264DA7-F53A-E5E5-4FAE-D797EFC5A4E6}"
"129411","144745","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","1700.00",".00","1700.00",".00","1700.00","","{FF3C25A6-A277-BAC3-67A9-A57AC77EB207}"
"129412","144746","4","1900.00","2","870.00","1","100.00","0",".00","7","2870.00",".00","870.00",".00","6510.92","7380.92","705.60","4700.00","5405.60",".00","5405.60","","{441A6953-F283-960F-1DDD-C385A280BA3A}"
"129413","144747","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","1700.00",".00","1700.00",".00","1700.00","","{DC49F04A-4FA6-19F3-4667-621EFCDE4A72}"
"129416","144750","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","2697.39","2697.39","1700.00",".00","1700.00",".00","1700.00","","{149D818E-C104-2080-58BE-CA16B97D8708}"
"129422","144756","3","5216.52","0",".00","0",".00","0",".00","3","5216.52",".00",".00",".00",".00",".00","5405.60",".00","5405.60","5405.60",".00","","{92BE0D6A-A020-2E66-9CDD-80EF61506E6C}"
"129423","144757","36","30050.00","0",".00","3","200.00","1","79.74","40","30329.74",".00",".00","79.74","18441.25","18520.99",".00",".00",".00",".00",".00","","{3F0F5EDD-6D3A-C46A-6359-9D937F822ED5}"
"129428","144763","2","4417.37","0",".00","0",".00","0",".00","2","4417.37",".00",".00",".00",".00",".00","4417.37",".00","4417.37","4417.37",".00","","{2793C517-6194-9F14-E209-99E9C6A3C96D}"
"129435","144770","1","696.56","0",".00","0",".00","0",".00","1","696.56",".00",".00",".00","696.56","696.56","300.00",".00","300.00","300.00",".00","","{8821B0EC-4360-F50E-362B-F085C886C800}"
"129447","144782","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","42.00","42.00",".00",".00",".00",".00",".00","","{BBF2EC1D-3818-E088-56FC-BB1E5FF12FC6}"
"129451","144786","0",".00","0",".00","1","859.46","0",".00","1","859.46",".00",".00",".00","244.48","244.48",".00",".00",".00",".00",".00","","{43C28502-2A2D-21B0-36E2-E6EAAC106F90}"
"129461","144796","12","3810.00","2","535.00","58","3406.00","0",".00","72","7751.00",".00","535.00",".00","1144.65","1679.65",".00",".00",".00",".00",".00","","{C0F0B0E7-B6BB-B20C-AE4B-EAB5570C52D4}"
"129467","144802","10","3960.00","3","2349.06","12","974.00","0",".00","25","7283.06",".00","2349.06",".00","3844.82","6193.88","4000.00",".00","4000.00",".00","4000.00","","{64C2183B-40B4-BA03-3B1E-6F03E8CBBD6C}"
"129468","144803","13","7795.00","9","9412.62","2","150.00","1","18.17","25","17375.79","50.00","9412.62","18.17","9285.34","18716.13","4000.00",".00","4000.00","4000.00",".00","","{6E2E7C22-64DB-CC6B-0245-CFDC12DE0383}"
"129469","144804","3","1718.29","3","7940.00","0",".00","0",".00","6","9658.29",".00","7940.00",".00","5030.80","12970.80",".00",".00",".00",".00",".00","","{557EEA8B-8167-2E53-31D9-6235FBBA82A3}"
"129470","144805","1","200.00","0",".00","1","59.37","0",".00","2","259.37",".00",".00",".00","201.68","201.68",".00",".00",".00",".00",".00","","{CB71F32C-20F9-6451-0302-EA9382AA56BA}"
"129471","144806","1","3699.60","0",".00","0",".00","0",".00","1","3699.60","29.82",".00",".00","318.01","318.01",".00",".00",".00",".00",".00","","{2B13D8AE-B549-9669-416B-ED4EBDDB661F}"
"129472","144807","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","3039.04","3039.04",".00",".00",".00",".00",".00","","{7963ECB2-104F-07AB-71DC-E6763DD3B1A2}"
"129473","144808","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","15.90","15.90",".00",".00",".00",".00",".00","","{D082A0E3-B607-A040-2973-718DC7CD32FD}"
"129474","144809","2","1500.00","0",".00","0",".00","1","82.00","3","1582.00",".00",".00","82.00","45.90","127.90",".00",".00",".00",".00",".00","","{7CCDA961-D954-EFD9-3A06-903DCADFFE3C}"
"129480","144817","8","1385.00","0",".00","131","2840.00","0",".00","139","4225.00",".00",".00",".00","396.90","396.90",".00",".00",".00",".00",".00","","{802B8ED1-1FFA-5906-9527-BAA44C558A1B}"
"129482","144819","8","450.00","0",".00","48","1155.06","0",".00","56","1605.06",".00",".00",".00","262.77","262.77",".00",".00",".00",".00",".00","","{DBD48703-5677-402E-A5CA-1EE9E19B446C}"
