"Committee Code","Committee Name","Report Year","Report Due Date","Report Code","Report Start Date","Report Ending Date","Fling Source Type","Filing Type","Amended Count","Date Received","Filing Status","Election Year","Officer Position","Last Name","First Name","Middle Name","Office Code","Office Sub Code","Party","SCHED_ID","Begin Cash Bal","Receips Line4 G","Receipts Line5 G","Receipts Line10 G","Tot Expend Funds","Exp Line8 G","Exp Line12 G","Surplus XFerred","Tot Surplus I","End Cash Bal","Tot Receipts To Date","Total Exp To Date","Debt Outstanding","Bal Start Cycle","Tot Receipts Line24 Last Rep","Tot Receipts Elec Cycle","Tot Funds Available","Total Disb Last Rep","Total Disb Elec Cycle","Ending Balance"
"CC980053","Friends of Vance Wilkins, Jr.","2000","07/17/2000","JUL17_00","01/01/2000","06/30/2000","E","R","","07/24/2000","T","1999","CandOfficer","Wilkins","S.","Vance","HOD","024","Virginia Republican Party","H","24927.91","77656.00","0.00","0.00","102583.91","41499.21","0.00","0.00","0.00","61084.70","247568.58","185890.86","10000.00","","","","","","",""
"CC980066","Committee to Elect Robert Neitz","2000","01/18/2000","JANN18_00","12/01/1999","12/31/1999","D","R","","02/02/2000","T","1999","CandOfficer","Neitz","Robert","","SEN","035","Virginia Republican Party","H","164.78","3429.00","100.00","3000.00","6693.78","5828.94","0.00","0.00","0.00","864.84","58761.08","69996.32","1429.69","","","","","","",""
"CC980066","Committee to Elect Robert Neitz","2000","07/17/2000","JUL17_00","01/01/2000","06/30/2000","E","R","","07/17/2000","T","1999","CandOfficer","Neitz","Robert","","SEN","035","Virginia Republican Party","H","864.84","0.00","0.00","0.00","864.84","83.03","0.00","0.00","0.00","781.81","58761.08","70079.35","1719.98","","","","","","",""
"CC980067","Don Williams for the House of Delegates","2000","01/18/2000","JANN18_00","12/01/1999","12/31/1999","D","R","","02/02/2000","T","1999","CandOfficer","Williams","Donald","","HOD","086","Virginia Democratic Party","H","11861.46","1480.00","0.00","0.00","13341.46","806.73","0.00","0.00","0.00","12534.73","359761.64","388007.65","40000.00","","","","","","",""
"CC980067","Don Williams for the House of Delegates","2000","07/17/2000","JUL17_00","01/01/2000","06/30/2000","E","R","","07/17/2000","T","1999","CandOfficer","Williams","Donald","","HOD","086","Virginia Democratic Party","H","12534.73","8681.00","538.26","0.00","21753.99","3791.97","0.00","0.00","0.00","17962.02","368442.64","391869.62","40000.00","","","","","","",""
"CC980067","Don Williams for the House of Delegates","2000","01/18/2000","JANN18_00","12/01/1999","12/31/1999","E","R","","04/16/2001","T","1999","CandOfficer","Williams","Donald","","HOD","086","Virginia Democratic Party","H","11861.46","1480.00","0.00","0.00","13341.46","806.73","0.00","0.00","0.00","12534.73","359761.64","388007.65","40000.00","","","","","","",""
"CC980073","Howell for Delegate","2000","07/17/2000","JUL17_00","01/01/2000","06/30/2000","E","R","","07/17/2000","T","1999","CandOfficer","Howell","William","J.","HOD","028","Virginia Republican Party","H","23883.70","1750.00","230.54","0.00","25864.24","4075.09","0.00","0.00","0.00","21789.15","60758.87","34136.86","0.00","","","","","","",""
"CC980075","Friends of Beverly J. Sherwood","2000","01/18/2000","JANN18_00","12/01/1999","12/31/1999","D","R","","02/02/2000","T","1999","CandOfficer","Sherwood","Beverly","J","HOD","029","Virginia Republican Party","H","23730.67","0.00","0.00","0.00","23730.67","1068.31","0.00","0.00","0.00","22662.36","31779.18","9469.62","0.00","","","","","","",""
"CC980075","Friends of Beverly J. Sherwood","2000","07/17/2000","JUL17_00","01/01/2000","06/30/2000","E","R","","07/17/2000","T","1999","CandOfficer","Sherwood","Beverly","J","HOD","029","Virginia Republican Party","H","22662.36","800.00","361.54","0.00","23823.90","1258.14","0.00","0.00","0.00","22565.76","32579.18","10727.76","0.00","","","","","","",""
"CC980076","Nick Rerras for State Senate","2000","01/18/2000","JANN18_00","12/01/1999","12/31/1999","D","R","","01/06/2000","T","1999","CandOfficer","Rerras","Dimitrios","Nick","SEN","006","Virginia Republican Party","H","9531.52","26950.00","30.50","0.00","36512.02","18575.84","3085.14","0.00","0.00","14851.04","302256.57","290909.04","0.00","","","","","","",""
"CC980076","Nick Rerras for State Senate","2000","01/18/2000","JANN18_00","12/01/1999","12/31/1999","D","R","","02/02/2000","T","1999","CandOfficer","Rerras","Dimitrios","Nick","SEN","006","Virginia Republican Party","H","9531.52","26950.00","30.50","0.00","36512.02","18575.84","3085.14","0.00","0.00","14851.04","302256.57","290909.04","0.00","","","","","","",""
"CC980076","Nick Rerras for State Senate","2000","07/17/2000","JUL17_00","01/01/2000","06/30/2000","D","F","","07/09/2000","T","1999","CandOfficer","Rerras","Dimitrios","Nick","SEN","006","Virginia Republican Party","H","14851.04","20970.00","991.41","0.00","36812.45","12919.84","0.00","23892.61","0.00","0.00","323226.57","303828.88","0.00","","","","","","",""
"CC980088","Friends of Harry Blevins","2000","01/18/2000","JANN18_00","12/01/1999","12/31/1999","D","R","","01/15/2000","T","1999","CandOfficer","Blevins","Harry","B","HOD","078","Virginia Republican Party","H","15144.02","100.00","0.00","0.00","15244.02","406.00","0.00","0.00","0.00","14838.02","30036.71","15581.49","0.00","","","","","","",""
"CC980088","Friends of Harry Blevins","2000","01/18/2000","JANN18_00","12/01/1999","12/31/1999","D","R","","02/01/2000","L","1999","CandOfficer","Blevins","Harry","B","HOD","078","Virginia Republican Party","H","15144.02","100.00","0.00","0.00","15244.02","406.00","0.00","0.00","0.00","14838.02","30036.71","15581.49","0.00","","","","","","",""
"CC980095","Committee to Re-Elect Dickinson","2000","01/18/2000","JANN18_00","12/01/1999","12/31/1999","D","R","","02/02/2000","T","1999","CandOfficer","Dickinson","V.","Earl","HOD","056","Virginia Democratic Party","H","40417.07","500.00","48.40","0.00","40965.47","305.04","0.00","0.00","0.00","40660.43","105599.31","65362.63","0.00","","","","","","",""
"CC980095","Committee to Re-Elect Dickinson","2000","07/17/2000","JUL17_00","01/01/2000","06/30/2000","E","R","","07/17/2000","T","1999","CandOfficer","Dickinson","V.","Earl","HOD","056","Virginia Democratic Party","H","40660.43","1550.00","136.29","0.00","42346.72","4741.83","0.00","0.00","0.00","37604.89","107149.31","70104.46","0.00","","","","","","",""
"CC980100","Friends of Morgan Griffith","2000","01/18/2000","JANN18_00","12/01/1999","12/31/1999","D","F","","02/02/2000","T","2000","CandOfficer","Griffith","H","Morgan","HOD","008","Virginia Republican Party","H","3589.35","2816.00","0.00","0.00","6405.35","1348.39","0.00","5056.96","0.00","0.00","67987.36","63467.14","0.00","","","","","","",""
"CC980103","Chichester for Senate","2000","01/18/2000","JANN18_00","12/01/1999","12/31/1999","D","R","","02/02/2000","T","2003","CandOfficer","Chichester","John","H.","SEN","028","Virginia Republican Party","H","158484.37","1229.74","5560.13","0.00","165274.24","4799.26","0.00","0.00","0.00","160474.98","200665.28","49155.00","0.00","","","","","","",""
"CC980103","Chichester for Senate","2000","07/17/2000","JUL17_00","01/01/2000","06/30/2000","E","R","","07/17/2000","T","2003","CandOfficer","Chichester","John","H.","SEN","028","Virginia Republican Party","H","160474.98","2000.00","3565.48","0.00","166040.46","297.82","0.00","0.00","0.00","165742.64","202665.28","49452.82","0.00","","","","","","",""
"CC980104","David B. Albo for Delegate","2000","07/17/2000","JUL17_00","01/01/2000","06/30/2000","D","R","","07/17/2000","T","2004","CandOfficer","Albo","David","B","HOD","042","Virginia Republican Party","H","16990.75","350.00","8.69","0.00","17349.44","1050.55","0.00","0.00","0.00","16298.89","51097.22","35048.70","0.00","","","","","","",""
"CC980109","Marshall for Delegate","2000","07/17/2000","JUL17_00","01/01/2000","06/30/2000","E","R","","07/17/2000","T","1999","CandOfficer","Marshall","Robert","G","HOD","013","Virginia Republican Party","H","41948.02","2100.00","923.40","0.00","44971.42","195.75","0.00","0.00","0.00","44775.67","87968.20","45832.50","0.00","","","","","","",""
"CC980125","Re-elect Rust  for Delegate","2000","01/18/2000","JANN18_00","12/01/1999","12/31/1999","D","R","","01/11/2000","T","1999","CandOfficer","Rust","John","H","HOD","037","Virginia Republican Party","H","12034.20","0.00","0.00","0.00","12034.20","1057.00","0.00","0.00","0.00","10977.20","209632.86","199993.87","0.00","","","","","","",""
"CC980125","Re-elect Rust  for Delegate","2000","01/18/2000","JANN18_00","12/01/1999","12/31/1999","D","R","","02/02/2000","T","1999","CandOfficer","Rust","John","H","HOD","037","Virginia Republican Party","H","12034.20","0.00","0.00","0.00","12034.20","1057.00","0.00","0.00","0.00","10977.20","209632.86","199993.87","0.00","","","","","","",""
"CC980125","Re-elect Rust  for Delegate","2000","07/17/2000","JUL17_00","01/01/2000","06/30/2000","E","R","","07/17/2000","T","1999","CandOfficer","Rust","John","H","HOD","037","Virginia Republican Party","H","10977.20","1300.00","480.49","0.00","12757.69","8916.43","0.00","0.00","0.00","3841.26","210932.86","207853.30","0.00","","","","","","",""
"CC980127","Friends of Roger McClure","2000","01/18/2000","JANN18_00","12/01/1999","12/31/1999","D","R","","02/02/2000","T","1999","CandOfficer","McClure","Roger","J","HOD","067","Virginia Republican Party","H","19646.33","1379.00","0.00","0.00","21025.33","138.11","0.00","0.00","0.00","20887.22","126025.64","105746.15","0.00","","","","","","",""
"CC980127","Friends of Roger McClure","2000","07/17/2000","JUL17_00","01/01/2000","06/30/2000","E","R","","07/25/2000","T","1999","CandOfficer","McClure","Roger","J","HOD","067","Virginia Republican Party","H","26675.46","7155.00","0.00","0.00","33830.46","6555.39","0.00","0.00","0.00","27275.07","109481.69","82814.35","0.00","","","","","","",""
