"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"41626","45172",".00",".00",".00","100.00","100.00","100.00",".00",".00",".00",".00","100.00","100.00",".00",".00","100.00","100.00","100.00",".00",".00",".00","100.00","","{8AD0B8B0-89AE-EC18-1D74-BDE7EBBD3CA6}"
"41696","45249","1148.96","2910.00",".00",".00","2910.00","4058.96","3209.29",".00",".00","3209.29","849.67",".00",".00","1918.37","2910.00","4828.37","4828.37","769.41","3209.29","3978.70","849.67","","{C1538F7B-22D8-F2A7-97AC-51F0F724137F}"
"41703","45256",".00","4199.00",".00",".00","4199.00","4199.00","456.00",".00",".00","456.00","3743.00",".00",".00",".00","4199.00","4199.00","4199.00",".00","456.00","456.00","3743.00","","{DB90E507-B7EE-89BC-A3CB-FE9BD9D9EFFC}"
"41704","45257","3144.81",".00",".00",".00",".00","3144.81",".00",".00",".00",".00","3144.81",".00","3144.81",".00",".00",".00","3144.81",".00",".00",".00","3144.81","","{1E2F1C73-EB58-F83D-67BE-599C83104B89}"
"41705","45258","2537.64","1150.00",".00",".00","1150.00","3687.64","3265.11",".00",".00","3265.11","422.53",".00",".00","3428.26","1150.00","4578.26","4578.26","890.62","3265.11","4155.73","422.53","","{39A1B370-8CFE-F934-11DC-DC231D1C4208}"
"41710","45263","65.30",".00",".00",".00",".00","65.30",".00",".00",".00",".00","65.30",".00","94.10",".00",".00",".00","94.10","28.80",".00","28.80","65.30","","{C2671DF9-897D-E91F-FE8A-71B2362C99BA}"
"41712","45266","241.88","144.63",".00","3600.00","3744.63","3986.51","3822.45",".00",".00","3822.45","164.06","8500.00","500.00","525.00","3744.63","4269.63","4769.63","783.12","3822.45","4605.57","164.06","","{FCCBDD5B-8B6B-A74F-7BF5-7C0AFB7C58BA}"
"41713","45267","8904.89","6778.47",".96",".00","6779.43","15684.32","6572.96",".00",".00","6572.96","9111.36",".00","3707.43","13994.86","6779.43","20774.29","24481.72","8797.40","6572.96","15370.36","9111.36","","{70E55548-56FC-9392-FC4C-41F68FDC82FA}"
"41720","45276",".00","1745.46","242.10",".00","1987.56","1987.56","1443.77",".00",".00","1443.77","543.79",".00",".00",".00","1987.56","1987.56","1987.56",".00","1443.77","1443.77","543.79","","{632C4E0A-C8E8-8292-1A83-6F15E61515CA}"
"41724","45280",".00","12631.00",".00","10000.00","22631.00","22631.00","17703.79",".00",".00","17703.79","4927.21","10000.00",".00",".00","22631.00","22631.00","22631.00",".00","17703.79","17703.79","4927.21","","{41331DFF-57A8-E067-6B4E-506798E2EAF1}"
"41725","45281","25.00",".00",".00",".00",".00","25.00",".00",".00",".00",".00","25.00",".00","25.00","25.00",".00","25.00","50.00",".00",".00",".00","50.00","","{14536ADF-ED9F-951F-995F-68F30483361D}"
"41727","45283","1250.72","306.39",".00",".00","306.39","1557.11","358.68",".00",".00","358.68","1198.43",".00","1250.72",".00","306.39","306.39","1557.11",".00","358.68","358.68","1198.43","","{8912EC14-337D-EE43-D067-F49209359C88}"
"41765","45321","44636.88","11000.00",".00",".00","11000.00","55636.88","11000.00",".00",".00","11000.00","44636.88","17550.51",".00","57414.83","11000.00","68414.83","68414.83","12777.95","11000.00","23777.95","44636.88","","{37504DAF-996A-22A5-09E5-3EDE0AC04891}"
"41767","45319",".00","4987.04",".00",".00","4987.04","4987.04","2602.11",".00",".00","2602.11","2384.93",".00",".00",".00","4987.04","4987.04","4987.04",".00","2602.11","2602.11","2384.93","","{4FBDD82C-3A37-0915-AB59-AE9ED311B9B5}"
"41771","45326","13772.97",".00",".00",".00",".00","13772.97","400.00",".00",".00","400.00","13372.97",".00","13772.97",".00",".00",".00","13772.97",".00","400.00","400.00","13372.97","","{58454449-7C1F-FB3C-BCB8-B338E8EA7C30}"
"41772","45327","5043.10",".00",".00",".00",".00","5043.10",".00",".00",".00",".00","5043.10","31000.00",".00","35118.77",".00","35118.77","35118.77","30075.67",".00","30075.67","5043.10","","{6173D5E2-5499-04CD-DD50-95014F17C534}"
"41776","45332","7375.85","4932.14",".00","392.74","5324.88","12700.73","3060.18",".00",".00","3060.18","9640.55","392.74","1796.89","14811.08","5324.88","20135.96","21932.85","9232.12","3060.18","12292.30","9640.55","","{A12DD8FB-E77A-A127-F5FE-90564BC8D552}"
"41785","45341","200.00","4579.60",".00",".00","4579.60","4779.60","3339.69",".00",".00","3339.69","1439.91",".00",".00","200.00","4579.60","4779.60","4779.60",".00","3339.69","3339.69","1439.91","","{BCD45292-32EA-4DB7-8A47-D9BED3FCFED9}"
"41786","45342",".00","500.00",".00","500.00","1000.00","1000.00",".00",".00",".00",".00","1000.00","500.00",".00",".00","1000.00","1000.00","1000.00",".00",".00",".00","1000.00","","{CFD64857-F152-A32D-1A71-6C97570CB8A8}"
"41796","45355","11998.78","13404.19",".00",".00","13404.19","25402.97","11927.16",".00",".00","11927.16","13475.81",".00",".00","39120.50","13404.19","52524.69","52524.69","27121.72","11927.16","39048.88","13475.81","","{D03593BF-41D5-C6CE-15EC-9787DE858710}"
"41802","45360","2102.01","15561.00",".00",".00","15561.00","17663.01","1273.37",".00",".00","1273.37","16389.64","1001.00",".00","2102.01","15561.00","17663.01","17663.01",".00","1273.37","1273.37","16389.64","","{0CFE18DD-F6A9-EE53-3D09-0DE0FE6B0F30}"
"41806","45364","928.67","1008.00",".00",".00","1008.00","1936.67","1810.37",".00",".00","1810.37","126.30",".00",".00","2600.00","1008.00","3608.00","3608.00","1671.33","1810.37","3481.70","126.30","","{E75B5A3B-E541-DFCD-376A-7DFBC2ED5A19}"
"41816","45375",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{9B202E12-C0EC-2E68-A8DD-FE613409DAD9}"
"41818","45377",".00","400.00",".00","500.00","900.00","900.00","776.42",".00",".00","776.42","123.58","500.00",".00",".00","900.00","900.00","900.00",".00","776.42","776.42","123.58","","{E4CA1BB5-06C8-0656-32A0-3111622A970E}"
"41824","45386","87562.97","97400.00",".00",".00","97400.00","184962.97","9473.07",".00",".00","9473.07","175489.90",".00","91059.61",".00","97400.00","97400.00","188459.61","3496.64","9473.07","12969.71","175489.90","","{C1552EF8-F07C-D871-E5E5-A23B41803673}"
"41825","45387","4007.68","3950.00",".00",".00","3950.00","7957.68","1436.89",".00",".00","1436.89","6520.79","2000.00",".00","4168.00","3950.00","8118.00","8118.00","160.32","1436.89","1597.21","6520.79","","{A5DDFCA1-7A28-4A7D-21E3-68CE8C618390}"
"41832","45394","314.80",".00",".00",".00",".00","314.80",".00",".00",".00",".00","314.80",".00","314.80","100.00",".00","100.00","414.80","100.00",".00","100.00","314.80","","{97F0B6D7-8865-0DCC-CDDB-2E3C96677EDA}"
