"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"86240","93995","3268.02",".00",".00",".00",".00","3268.02","1180.40",".00",".00","1180.40","2087.62","997.40",".00","4523.63",".00","4523.63","4523.63","1255.61","1180.40","2436.01","2087.62","","{CD05C0C2-2B69-6795-C3CB-56CE64F61FD4}"
"86241","93996","2087.62",".00",".00",".00",".00","2087.62","604.00",".00",".00","604.00","1483.62","1131.05",".00","4523.63",".00","4523.63","4523.63","2436.01","604.00","3040.01","1483.62","","{1DB3274D-212B-F021-D5E7-082A807FE1A7}"
"86242","93997","1483.62",".00",".00",".00",".00","1483.62","1178.74",".00",".00","1178.74","304.88",".00",".00","4523.63",".00","4523.63","4523.63","3040.01","1178.74","4218.75","304.88","","{B82E8D34-B26E-745A-5E84-5D0B3678B353}"
"86243","93998","304.88",".00",".00",".00",".00","304.88",".00",".00",".00",".00","304.88",".00",".00","4523.63",".00","4523.63","4523.63","4218.75",".00","4218.75","304.88","","{1DE8DE5F-8428-3187-642B-937376436B71}"
"86245","94000","304.88",".00",".00",".00",".00","304.88","304.88",".00",".00","304.88",".00",".00","304.88",".00",".00",".00","304.88",".00","304.88","304.88",".00","","{95904189-4F01-2F31-1836-DB4F289F732F}"
"86275","94039",".00","4570.91",".00",".00","4570.91","4570.91","1761.38",".00",".00","1761.38","2809.53",".00",".00",".00","4570.91","4570.91","4570.91",".00","1761.38","1761.38","2809.53","","{FC50E126-6561-DD38-9A07-9D27B55307F3}"
"86279","94043",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E11D4787-0AF2-EC8D-04EB-7E7CA3F208B1}"
"86297","94063","524.46",".00",".00",".00",".00","524.46","524.46",".00",".00","524.46",".00",".00","524.46",".00",".00",".00","524.46",".00","524.46","524.46",".00","","{52E1E35A-894F-C714-83C6-D54246D2D6D8}"
"86302","94069",".00","6582.50",".00",".00","6582.50","6582.50","5644.23",".00",".00","5644.23","938.27",".00",".00",".00","6582.50","6582.50","6582.50",".00","5644.23","5644.23","938.27","","{50D95064-9577-2A36-11BD-AF5120327BAA}"
"86312","94079","182.63","1479.14",".00",".00","1479.14","1661.77","161.77","1500.00",".00","1661.77",".00",".00","182.63",".00","1479.14","1479.14","1661.77",".00","1661.77","1661.77",".00","","{B56E0733-1975-C524-A540-B4F05EA32A47}"
"86323","94090",".00","20.00",".00",".00","20.00","20.00",".00",".00",".00",".00","20.00",".00",".00",".00","20.00","20.00","20.00",".00",".00",".00","20.00","","{8A3CEA34-C7A6-EC89-A9BD-6C79D494AB5D}"
"86347","94119","553.00","350.00",".00",".00","350.00","903.00",".00",".00",".00",".00","903.00",".00","553.00",".00","350.00","350.00","903.00",".00",".00",".00","903.00","","{8C9E0471-6C17-AD70-9CD1-FA42516D245B}"
"86351","94123","664.01",".00",".95",".00",".95","664.96",".00",".00",".00",".00","664.96","4716.60","664.01",".00",".95",".95","664.96",".00",".00",".00","664.96","","{E6E6219D-48D4-453F-443E-08614CB727C0}"
"86353","94125","200.00",".00",".00",".00",".00","200.00",".00",".00",".00",".00","200.00",".00","200.00","200.00",".00","200.00","400.00",".00",".00",".00","400.00","","{A6CDBB42-6995-4C51-E349-E786EE09AD8D}"
"86443","94232","2342.03",".00",".00",".00",".00","2342.03",".00",".00","2342.03","2342.03",".00",".00",".00","27319.17",".00","27319.17","27319.17","24977.14","2342.03","27319.17",".00","","{C9C19DD5-A064-06CB-86BE-6A2A6EC2DBCA}"
