"Committee Code","Committee Name","Report Year","Report Due Date","Report Code","Report Start Date","Report Ending Date","Fling Source Type","Filing Type","Amended Count","Date Received","Filing Status","Election Year","Officer Position","Last Name","First Name","Middle Name","SCHED_ID","Begin Cash Bal","Receips Line4 G","Receipts Line5 G","Receipts Line10 G","Tot Expend Funds","Exp Line8 G","Exp Line12 G","Surplus XFerred","Tot Surplus I","End Cash Bal","Tot Receipts To Date","Total Exp To Date","Debt Outstanding","Bal Start Cycle","Tot Receipts Line24 Last Rep","Tot Receipts Elec Cycle","Tot Funds Available","Total Disb Last Rep","Total Disb Elec Cycle","Ending Balance"
"91-107","Virginia Society for Human Life PAC","2011","04/15/2011","PAC2110001","01/01/2011","03/31/2011","E","R","0","04/07/2011","T","0","Treasurer","Fastabend","William","","H","302.27","2080.00","0.00","0.00","2382.27","119.09","0.00","","0.00","2263.18","2080.00","119.09","0.00","302.27","0.00","2080.00","2382.27","0.00","119.09","2263.18"
"91-107","Virginia Society for Human Life PAC","2011","09/01/2011","PAC2110002","04/01/2011","06/30/2011","E","R","0","07/09/2011","T","0","Treasurer","Fastabend","William","","H","2263.18","0.00","0.00","0.00","2263.18","1279.41","0.00","","0.00","983.77","0.00","1279.41","0.00","302.27","2080.00","2080.00","2382.27","119.09","1398.50","983.77"
"91-107","Virginia Society for Human Life PAC","2011","12/01/2011","PAC2110003","07/01/2011","09/30/2011","E","R","0","10/07/2011","T","0","Treasurer","Fastabend","William","","H","983.77","1250.00","0.00","0.00","2233.77","136.00","0.00","","0.00","2097.77","1250.00","136.00","0.00","302.27","2080.00","3330.00","3632.27","1398.50","1534.50","2097.77"
"91-107","Virginia Society for Human Life PAC","2011","01/17/2012","PAC2110004","10/01/2011","12/31/2011","E","R","0","01/05/2012","T","0","Treasurer","Fastabend","William","","H","2097.77","9746.66","0.00","0.00","11844.43","11650.69","0.00","","0.00","193.74","9746.66","11650.69","0.00","302.27","3330.00","13076.66","13378.93","1534.50","13185.19","193.74"
"91-108","Career Schools PAC","2011","04/15/2011","PAC2110001","01/01/2011","03/31/2011","E","R","0","04/11/2011","T","0","Treasurer","Walton","M. Lauck","","H","11196.72","3250.00","1.07","0.00","14447.79","1265.00","0.00","","0.00","13182.79","3251.07","1265.00","0.00","11196.72","0.00","3251.07","14447.79","0.00","1265.00","13182.79"
"91-108","Career Schools PAC","2011","09/01/2011","PAC2110002","04/01/2011","06/30/2011","E","R","0","07/13/2011","T","0","Treasurer","Walton","M. Lauck","","H","13182.79","2000.00","0.97","0.00","15183.76","2465.00","0.00","","0.00","12718.76","2000.97","2465.00","0.00","11196.72","3251.07","5252.04","16448.76","1265.00","3730.00","12718.76"
"91-108","Career Schools PAC","2011","12/01/2011","PAC2110003","07/01/2011","09/30/2011","E","R","0","10/12/2011","T","0","Treasurer","Walton","M. Lauck","","H","12718.76","0.00","0.58","0.00","12719.34","2915.00","0.00","","0.00","9804.34","0.58","2915.00","0.00","11196.72","5252.04","5252.62","16449.34","3730.00","6645.00","9804.34"
"91-108","Career Schools PAC","2011","01/17/2012","PAC2110004","10/01/2011","12/31/2011","E","R","0","01/11/2012","T","0","Treasurer","Walton","M. Lauck","","H","9804.34","3000.00","0.60","0.00","12804.94","1265.00","0.00","","0.00","11539.94","3000.60","1265.00","0.00","11196.72","5252.62","8253.22","19449.94","6645.00","7910.00","11539.94"
"91-109","Chesterfield Education Association PAC","2011","04/15/2011","PAC2110001","01/01/2011","03/31/2011","E","R","0","04/13/2011","T","0","Treasurer","Anzelmo","Sarah","","H","7081.96","888.25","0.00","0.00","7970.21","0.00","0.00","","0.00","7970.21","888.25","0.00","0.00","7081.96","0.00","888.25","7970.21","0.00","0.00","7970.21"
"91-109","Chesterfield Education Association PAC","2011","09/01/2011","PAC2110002","04/01/2011","06/30/2011","E","R","0","07/06/2011","T","0","Treasurer","Anzelmo","Sarah","","H","7970.21","58.00","0.00","0.00","8028.21","0.00","0.00","","0.00","8028.21","58.00","0.00","0.00","7081.96","888.25","946.25","8028.21","0.00","0.00","8028.21"
"91-109","Chesterfield Education Association PAC","2011","12/01/2011","PAC2110003","07/01/2011","09/30/2011","E","R","0","10/13/2011","T","0","Treasurer","Anzelmo","Sarah","","H","8028.21","0.00","0.00","0.00","8028.21","2288.13","0.00","","0.00","5740.08","0.00","2288.13","0.00","7081.96","946.25","946.25","8028.21","0.00","2288.13","5740.08"
"91-109","Chesterfield Education Association PAC","2011","01/17/2012","PAC2110004","10/01/2011","12/31/2011","E","R","0","01/11/2012","T","0","Treasurer","Anzelmo","Sarah","","H","5740.08","833.50","0.00","0.00","6573.58","6276.10","0.00","","0.00","297.48","833.50","6276.10","0.00","7081.96","946.25","1779.75","8861.71","2288.13","8564.23","297.48"
