"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"21655","23068","52","22005.00","0",".00","25","1030.00","0",".00","77","23035.00",".00",".00",".00","20452.47","20452.47",".00",".00",".00",".00",".00","","{522915C4-4E27-5178-EF7C-22B13734F125}"
"21660","23073","0",".00","1","400.00","1","50.00","0",".00","2","450.00",".00","400.00",".00",".00","400.00",".00",".00",".00",".00",".00","","{84C2987F-9AF6-F464-C1E7-7581ED31CC87}"
"21662","23075","0",".00","1","400.00","1","50.00","0",".00","2","450.00",".00","400.00",".00",".00","400.00",".00",".00",".00",".00",".00","","{84C2987F-9AF6-F464-C1E7-7581ED31CC87}"
"21663","23076","9","11500.00","0",".00","0",".00","0",".00","9","11500.00",".00",".00",".00","5000.00","5000.00",".00",".00",".00",".00",".00","","{D3C48304-EF83-4094-7431-7118823796FD}"
"21671","23085","39","19325.00","3","1490.00","65","3580.00","0",".00","107","24395.00",".00","1490.00",".00","10118.95","11608.95","30000.00",".00","30000.00",".00","30000.00","","{8FDB926F-DAF5-C2C8-5BAE-78DB6BBA8BF9}"
"21679","23093","47","16475.00","4","4759.79","26","1605.00","0",".00","77","22839.79","2.01","4759.79",".00","16136.36","20896.15",".00",".00",".00",".00",".00","","{715D8B04-F2BE-5148-C495-25DE98C13DDC}"
"21680","23097","25","35325.00","2","523.25","19","1025.00","0",".00","46","36873.25",".00","523.25",".00","24725.54","25248.79","20814.82","20000.00","40814.82",".00","40814.82","","{12BEB29C-69B3-2BF5-E17F-A27A6518E86E}"
"21707","23137","5","1950.00","0",".00","2","125.00","0",".00","7","2075.00",".00",".00",".00","810.00","810.00",".00",".00",".00",".00",".00","","{17707162-74EB-7D91-4199-967DDFC72547}"
"21708","23138","0",".00","0",".00","1","14.95","0",".00","1","14.95",".00",".00",".00","14.95","14.95",".00",".00",".00",".00",".00","","{D081E0F2-3C67-0E52-B40E-B1D748B21BD9}"
"21709","23139","7","8048.03","0",".00","6","459.61","0",".00","13","8507.64",".00",".00",".00","8414.68","8414.68",".00","200.00","200.00",".00","200.00","","{676F4F6F-647D-8A88-F5FA-4BBAE138ED4E}"
"21710","23140","7","8048.03","0",".00","6","459.61","0",".00","13","8507.64",".00",".00",".00","8414.68","8414.68",".00","200.00","200.00",".00","200.00","","{676F4F6F-647D-8A88-F5FA-4BBAE138ED4E}"
"21711","23141","13","1268.21","0",".00","7","650.00","0",".00","20","1918.21",".00",".00",".00","1561.91","1561.91","200.00",".00","200.00",".00","200.00","","{BC847460-5D5B-CB4D-A9C9-384CB6CF2ECA}"
"21713","23143","7","8048.03","0",".00","6","459.61","0",".00","13","8507.64",".00",".00",".00","8414.68","8414.68",".00","200.00","200.00",".00","200.00","","{676F4F6F-647D-8A88-F5FA-4BBAE138ED4E}"
"21714","23144","3","1916.26","0",".00","1","100.00","0",".00","4","2016.26",".00",".00",".00","2029.72","2029.72","200.00",".00","200.00",".00","200.00","","{368A6A27-80C6-81A6-EF0B-EC5251ED5919}"
