"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"99930","111576","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E5DD7E16-8B6F-57EA-8FDF-0ABCF8318239}"
"99932","111578","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","410.00","410.00",".00","410.00","410.00",".00","410.00","","{D603ED9F-2ADC-9718-C7C2-84A4B2D3DD4B}"
"99933","111581","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{FFD2BEB0-B4FE-5B8E-B93C-8F86D90C9D70}"
"99935","111586","11","4600.00","1","169.11","9","650.00","0",".00","21","5419.11",".00","169.11",".00","11398.59","11567.70",".00",".00",".00",".00",".00","","{8599155A-A2B6-3684-73BC-65AAE71B88C6}"
"99938","111589","1","250.00","0",".00","122","1950.40","0",".00","123","2200.40",".00",".00",".00","583.03","583.03",".00",".00",".00",".00",".00","","{8EC7848C-66A7-43B5-1945-4CB8EA11D4A2}"
"99941","111592","2","197.87","0",".00","0",".00","0",".00","2","197.87",".00",".00",".00","197.87","197.87",".00",".00",".00",".00",".00","","{EF62324A-059D-185E-40FC-A7A9BA4DEAAD}"
"99946","111605","1","5000.00","0",".00","0",".00","0",".00","1","5000.00",".00",".00",".00","5640.96","5640.96",".00",".00",".00",".00",".00","","{51483545-8C4E-4508-EF0A-26E628BE70D3}"
"99948","111607","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00","40314.70","40314.70","40314.70",".00","","{18FB1B75-DC48-A79D-5D38-0F8BA40D7492}"
"99952","111611","0",".00","0",".00","4","308.73","0",".00","4","308.73",".00",".00",".00","1885.72","1885.72",".00",".00",".00",".00",".00","","{09C29BBD-22EB-F7F9-F781-13A25902758A}"
"99956","111615","19","9950.00","3","388.15","26","1754.00","2","87.35","50","12179.50",".00","388.15","87.35","7076.17","7551.67",".00",".00",".00",".00",".00","","{CC39DC3F-C254-E254-F365-5498A2B2C43A}"
"99957","111618","0",".00","46","2953.15","0",".00","1","33.00","47","2986.15",".00","2953.15","33.00",".00","2986.15",".00",".00",".00",".00",".00","","{4F9AE094-7AC7-9D62-7681-50D44060BA24}"
"99961","111622","54","55190.00","0",".00","107","5736.73","0",".00","161","60926.73",".00",".00",".00","84827.84","84827.84",".00","40.00","40.00",".00","40.00","","{EFACB6F7-0C49-8D3E-D9AC-DE781A3B9E3B}"
"99970","111631","14","7900.00","4","1506.15","37","3330.00","0",".00","55","12736.15",".00","1506.15",".00","2501.10","4007.25",".00",".00",".00",".00",".00","","{856E8A8D-C7EB-5790-3074-133FDA55F670}"
"99977","111639","5","4000.00","0",".00","0",".00","0",".00","5","4000.00",".00",".00",".00","5000.00","5000.00",".00","1025.00","1025.00",".00","1025.00","","{7A73B32B-EC3E-2D43-0FD5-C508DB7B3052}"
"99981","111643","1","2000.00","0",".00","0",".00","0",".00","1","2000.00",".00",".00",".00",".00",".00","3342.83",".00","3342.83","2000.00","1342.83","","{0995623B-C656-FF63-195A-25C5F328A530}"
"99983","111645","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A3202E4D-826A-3454-122D-EBBEC57D2139}"
"100985","112649","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{D106423B-A350-0EC2-8703-362C81536C7B}"
"101003","112668","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","6280.33","6280.33",".00",".00",".00",".00",".00","","{1BFA0056-945D-6817-7B30-FC4DA813051E}"
"101005","112671","1","168.45","0",".00","0",".00","0",".00","1","168.45",".00",".00",".00",".00",".00","766.45",".00","766.45","766.45",".00","","{5DEA517A-7E3C-7284-4440-91B3824F2422}"
"101011","112678","37","15650.00","0",".00","15","1150.00","0",".00","52","16800.00",".00",".00",".00","18061.88","18061.88",".00",".00",".00",".00",".00","","{ACA626C9-86C4-7404-CB79-0773886B1518}"
"101012","112680","0",".00","0",".00","18","1119.00","0",".00","18","1119.00",".00",".00",".00","524.22","524.22",".00",".00",".00",".00",".00","","{31EC2C4A-D670-2C29-DA64-ABC519C3BCCE}"
"101021","112692","33","16650.00","0",".00","23","1660.00","0",".00","56","18310.00","8026.56",".00",".00","13899.72","13899.72",".00",".00",".00",".00",".00","","{23E94CC1-C1D7-D7C7-B3A5-6F9457BEFE4C}"
"101023","112694","32","15825.00","2","343.80","12","875.00","0",".00","46","17043.80",".00","343.80",".00","16599.80","16943.60",".00",".00",".00",".00",".00","","{EA35FF39-7F15-AE49-80A1-5BBCE1887081}"
"101024","112696","113","44660.00","0",".00","79","5125.00","0",".00","192","49785.00",".00",".00",".00","31644.35","31644.35",".00",".00",".00",".00",".00","","{23BFF8EF-E039-C6B0-278E-9686A7DB6EFC}"
"101033","112706","37","14901.00","2","281.00","18","1305.00","0",".00","57","16487.00",".00","281.00",".00","21574.87","21855.87",".00",".00",".00",".00",".00","","{E7F2E7AA-0257-D84D-3477-A78FD329E3BC}"
"101040","112713","136","42665.00","4","1506.00","105","6121.00","0",".00","245","50292.00",".00","1506.00",".00","25465.37","26971.37",".00",".00",".00",".00",".00","","{C4610FB2-EFFD-6BA3-257D-502502929FC4}"
"101041","112714","33","7625.00","0",".00","21","1230.00","0",".00","54","8855.00",".00",".00",".00","21247.02","21247.02",".00",".00",".00",".00",".00","","{7A4311C1-64A9-8A96-AD51-747A54097475}"
"101042","112715","74","28475.00","0",".00","28","1635.00","0",".00","102","30110.00",".00",".00",".00","15187.52","15187.52",".00",".00",".00",".00",".00","","{45CA53F2-128A-BB96-6405-5B5CA2F18782}"
"101043","112716","39","25050.00","2","383.81","12","740.00","1","83.80","54","26257.61",".00","383.81","83.80","11423.34","11890.95",".00",".00",".00",".00",".00","","{B576DEC3-B678-E73E-6170-4A00490BF674}"
"101045","112718","122","42732.07","2","1000.00","77","4270.00","0",".00","201","48002.07","360.00","1000.00",".00","52642.92","53642.92",".00",".00",".00",".00",".00","","{9C216644-7F15-C302-6A90-7AEBB5635F16}"
"101047","112720","60","20165.00","5","1233.85","158","4372.75","1","58.00","224","25829.60",".00","1233.85","58.00","39459.54","40751.39",".00",".00",".00",".00",".00","","{818D030E-BEDF-747D-9CDF-46A027E7589A}"
"101059","112735","53","22704.25","0",".00","33","2389.38","0",".00","86","25093.63",".00",".00",".00","15208.73","15208.73",".00",".00",".00",".00",".00","","{3B7DE7C9-8C00-E9F1-0174-1DEBB7F8B691}"
"101082","112778","2","1700.00","0",".00","1","25.00","0",".00","3","1725.00",".00",".00",".00","54.90","54.90",".00",".00",".00",".00",".00","","{AC57AAF8-5A4A-D868-1526-7878FFD40C82}"
"101088","112787","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","50.00","50.00",".00",".00",".00",".00",".00","","{803B9E61-1D62-EC59-9A64-94EAF39E82BA}"
"101089","112788","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","45.00","45.00",".00",".00",".00",".00",".00","","{0E2503A3-89F1-1EAA-B33E-0DD723E5E2CA}"
"101097","112796","5","5350.00","0",".00","1","45.00","0",".00","6","5395.00",".00",".00",".00","5000.00","5000.00",".00","3000.00","3000.00",".00","3000.00","","{31492648-3316-25B3-2CA6-794B3C7CCBBA}"
"101128","112828","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","138.26","138.26",".00",".00",".00",".00",".00","","{B7762F35-96C4-E5C3-CE08-E3C4AA472F1A}"
"101130","112830","0",".00","0",".00","2","149.00","0",".00","2","149.00",".00",".00",".00","588.44","588.44",".00","588.44","588.44",".00","588.44","","{04057BA3-1E10-B46C-AFB1-7FD031ED72DE}"
"101134","112834","26","78750.00","8","44927.12","4","230.00","0",".00","38","123907.12",".00","44927.12",".00","70546.65","115473.77",".00",".00",".00",".00",".00","","{B78E40FE-5439-BC74-5574-BC102772B407}"
"101135","112835","11","40550.00","9","41446.44","3","175.00","0",".00","23","82171.44",".00","41446.44",".00","86919.16","128365.60",".00",".00",".00",".00",".00","","{A34373F6-C3C8-C30E-BB26-CEAD08B6E543}"
"101141","112842","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1537.48","1537.48",".00","1537.48","1537.48",".00","1537.48","","{2E351942-FD2B-DCB0-DEE2-71E67CBFC91A}"
"101145","112846","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","2809.38","2809.38",".00","3655.86","3655.86",".00","3655.86","","{44FE2A01-CEBC-CFC2-5B79-992E386C7EC6}"
"101150","112853","2","35500.00","3","42000.00","0",".00","0",".00","5","77500.00",".00","42000.00",".00","117111.21","159111.21",".00",".00",".00",".00",".00","","{5747BFC1-69B1-1184-83F7-530C5661A87D}"
"101158","112861","1","200.00","0",".00","1",".16","0",".00","2","200.16",".00",".00",".00","42.78","42.78",".00",".00",".00",".00",".00","","{FFD2BEB0-B4FE-5B8E-B93C-8F86D90C9D70}"
